grp	start	end
chr1_108	34206450	34208720
chr1_1080	120812660	120814960
chr1_1081	120836240	120837970
chr1_1082	120850870	120853310
chr1_1083	120872510	120874490
chr1_1084	120356450	120357920
chr1_1085	120831380	120833620
chr1_1086	120929550	120931780
chr1_1087	120206440	120208800
chr1_1088	120749950	120752010
chr1_1089	120791070	120793100
chr1_109	34177470	34178870
chr1_1090	120801050	120803010
chr1_1091	120804410	120806620
chr1_1092	120806970	120808310
chr1_1093	120844010	120846380
chr1_1094	120849000	120850790
chr1_1095	120889740	120891850
chr1_1096	120915520	120916120
chr1_1097	120918450	120920410
chr1_1098	120922020	120924110
chr1_1099	120927540	120928280
chr1_11	5316070	5317140
chr1_110	34179670	34181650
chr1_1100	120947940	120949870
chr1_1101	121048160	121049920
chr1_1102	121090030	121092500
chr1_1103	121115430	121118280
chr1_1104	121149720	121150860
chr1_1105	121152470	121154510
chr1_1106	121155170	121156920
chr1_1107	121169100	121170930
chr1_1108	121188530	121189360
chr1_1109	121197980	121200200
chr1_111	34292750	34295150
chr1_1110	121204720	121206810
chr1_1111	120797300	120799600
chr1_1112	120864280	120865080
chr1_1113	121244020	121246280
chr1_1114	121349400	121351650
chr1_1115	121379150	121380070
chr1_1116	121533280	121534730
chr1_1117	121536210	121537070
chr1_1118	121768450	121769460
chr1_1119	121731280	121733470
chr1_112	34363130	34364170
chr1_1120	121772860	121774650
chr1_1121	121774900	121777180
chr1_1122	121903900	121906030
chr1_1123	121951000	121952650
chr1_1124	122016580	122017330
chr1_1125	122103440	122105280
chr1_1126	122018380	122020800
chr1_1127	122021230	122023400
chr1_1128	122031950	122034300
chr1_1129	122161850	122164200
chr1_113	34494700	34496070
chr1_1130	122010640	122012960
chr1_1131	122504560	122506110
chr1_1132	122653760	122654770
chr1_1133	122672500	122674980
chr1_1134	122650260	122651870
chr1_1135	123008230	123009810
chr1_1136	123026630	123027410
chr1_1137	123176530	123178160
chr1_1138	123224600	123226800
chr1_1139	123360180	123361430
chr1_114	34496770	34499250
chr1_1140	123222560	123224090
chr1_1141	123358550	123359670
chr1_1142	123462740	123464360
chr1_1143	127315850	127316930
chr1_1144	127326920	127328260
chr1_1145	127346000	127348180
chr1_1146	127366420	127368650
chr1_1147	127372490	127374520
chr1_1148	127374960	127377390
chr1_1149	127421570	127423820
chr1_115	34887780	34888550
chr1_1150	127429600	127430800
chr1_1151	127438250	127440050
chr1_1152	127457860	127460220
chr1_1153	127463480	127465120
chr1_1154	127465180	127466520
chr1_1155	127535080	127537170
chr1_1156	127558290	127560690
chr1_1157	127625380	127627450
chr1_1158	127286250	127287320
chr1_1159	127369040	127370260
chr1_116	34895890	34896840
chr1_1160	127597280	127599680
chr1_1161	127753430	127755370
chr1_1162	128431470	128433510
chr1_1163	128552270	128553900
chr1_1164	128651600	128653400
chr1_1165	128702320	128704790
chr1_1166	129102000	129104120
chr1_1167	129114220	129115340
chr1_1168	129136060	129137600
chr1_1169	129152720	129154800
chr1_117	34884320	34885610
chr1_1170	129244290	129246370
chr1_1171	129320670	129322920
chr1_1172	129518080	129520000
chr1_1173	129677340	129677690
chr1_1174	129681820	129683180
chr1_1175	129746860	129747810
chr1_1176	129671750	129673800
chr1_1177	129764890	129767100
chr1_1178	129912160	129914130
chr1_1179	129914300	129915880
chr1_118	35816060	35817400
chr1_1180	129916190	129917950
chr1_1181	129942950	129944440
chr1_1182	129973320	129973730
chr1_1183	129977010	129978580
chr1_1184	129978990	129980230
chr1_1185	129997810	129999710
chr1_1186	129999780	130001860
chr1_1187	130295620	130296340
chr1_1188	132409500	132409690
chr1_1189	132611150	132613900
chr1_119	35990250	35992910
chr1_1190	132637760	132638900
chr1_1191	132614380	132615290
chr1_1192	132635080	132637570
chr1_1193	132963590	132965930
chr1_1194	132968170	132970470
chr1_1195	132975290	132977750
chr1_1196	132985150	132987090
chr1_1197	132990560	132991930
chr1_1198	132991960	132993860
chr1_1199	133021970	133024080
chr1_12	6205030	6206750
chr1_120	36029950	36031360
chr1_1200	133030440	133032830
chr1_1201	133032940	133034650
chr1_1202	133049530	133051730
chr1_1203	133060140	133061690
chr1_1204	133078830	133079300
chr1_1205	133080090	133081940
chr1_1206	133083500	133084550
chr1_1207	133124120	133126520
chr1_1208	133132100	133133580
chr1_1209	133138980	133141260
chr1_121	36032440	36033250
chr1_1210	133173150	133175900
chr1_1211	133189870	133191250
chr1_1212	133274420	133276430
chr1_1213	133276650	133277590
chr1_1214	133323340	133324710
chr1_1215	133326090	133327170
chr1_1216	133327610	133329740
chr1_1217	133343910	133344870
chr1_1218	133385440	133386910
chr1_1219	133387600	133389720
chr1_122	36042620	36044550
chr1_1220	133391140	133391480
chr1_1221	133398170	133398420
chr1_1222	133408120	133409180
chr1_1223	133413020	133413580
chr1_1224	133419920	133421510
chr1_1225	133422170	133423800
chr1_1226	133425420	133427230
chr1_1227	132971680	132972910
chr1_1228	133134170	133136560
chr1_1229	133585410	133586000
chr1_123	36048500	36050850
chr1_1230	133763980	133765420
chr1_1231	133809710	133810610
chr1_1232	133807320	133808840
chr1_1233	133875590	133877860
chr1_1234	133889090	133891120
chr1_1235	134021240	134023430
chr1_1236	134023950	134026210
chr1_1237	134026360	134028480
chr1_1238	134047060	134048960
chr1_1239	134160440	134162330
chr1_124	36063200	36064880
chr1_1240	134163060	134164930
chr1_1241	134277820	134279630
chr1_1242	134230060	134232210
chr1_1243	134241750	134243930
chr1_1244	134245320	134246480
chr1_1245	134273710	134274780
chr1_1246	134266720	134269020
chr1_1247	134284140	134286470
chr1_1248	134182770	134185200
chr1_1249	134282360	134283450
chr1_125	36086110	36088580
chr1_1250	134374100	134375000
chr1_1251	134853180	134853970
chr1_1252	134914420	134915930
chr1_1253	134916000	134917810
chr1_1254	134971430	134973900
chr1_1255	135015700	135017740
chr1_1256	135030190	135032140
chr1_1257	135071180	135073050
chr1_1258	135083410	135085770
chr1_1259	135109250	135110760
chr1_126	36130290	36130930
chr1_1260	135111060	135112490
chr1_1261	135125530	135126400
chr1_1262	135128320	135128760
chr1_1263	135131840	135132670
chr1_1264	135142710	135145020
chr1_1265	135148020	135148610
chr1_1266	135173610	135174010
chr1_1267	135191690	135193820
chr1_1268	135118540	135120600
chr1_1269	135150600	135152680
chr1_127	36172420	36174670
chr1_1270	135505530	135506740
chr1_1271	135578040	135580110
chr1_1272	135605780	135608200
chr1_1273	135608390	135610170
chr1_1274	135637600	135639970
chr1_1275	135640270	135642610
chr1_1276	135662740	135664480
chr1_1277	135674270	135676310
chr1_1278	135677480	135679150
chr1_1279	135696470	135697700
chr1_128	36174810	36175870
chr1_1280	135711820	135713900
chr1_1281	135714790	135715730
chr1_1282	135767120	135769280
chr1_1283	135794540	135796800
chr1_1284	135974280	135975480
chr1_1285	135994680	135997060
chr1_1286	136302000	136304150
chr1_1287	136142030	136144420
chr1_1288	136257010	136259200
chr1_1289	136304280	136306170
chr1_129	36181060	36181430
chr1_1290	136319140	136320530
chr1_1291	136461550	136463230
chr1_1292	136312160	136313660
chr1_1293	136316630	136317430
chr1_1294	136391380	136392720
chr1_1295	136653640	136654260
chr1_1296	136655150	136657590
chr1_1297	136658120	136658600
chr1_1298	136700290	136702720
chr1_1299	136728400	136730320
chr1_13	6295900	6298100
chr1_130	36189490	36190520
chr1_1300	136646410	136646950
chr1_1301	136650160	136652460
chr1_1302	136697440	136699670
chr1_1303	136713130	136714510
chr1_1304	136797620	136798950
chr1_1305	136799080	136800560
chr1_1306	136810000	136810800
chr1_1307	136880780	136882920
chr1_1308	136897120	136898980
chr1_1309	137026320	137028760
chr1_131	36299300	36301640
chr1_1310	136859360	136860940
chr1_1311	137020390	137021810
chr1_1312	137022080	137022710
chr1_1313	137022980	137024610
chr1_1314	137049120	137050750
chr1_1315	137050840	137051790
chr1_1316	137092100	137092850
chr1_1317	137094960	137097020
chr1_1318	137084840	137085180
chr1_1319	137133020	137134800
chr1_132	36429220	36430120
chr1_1320	137113720	137115010
chr1_1321	137190660	137192950
chr1_1322	137221840	137224250
chr1_1323	137243170	137245230
chr1_1324	137324530	137326840
chr1_1325	137362580	137365170
chr1_1326	137367850	137368730
chr1_1327	137386930	137388720
chr1_1328	137405810	137407820
chr1_1329	137426760	137428920
chr1_133	36491160	36492900
chr1_1330	137663470	137665050
chr1_1331	137247810	137249830
chr1_1332	137491930	137492910
chr1_1333	137499180	137500570
chr1_1334	137501070	137503390
chr1_1335	137517890	137518450
chr1_1336	137519380	137520500
chr1_1337	137642000	137643290
chr1_1338	137744340	137745380
chr1_1339	137639320	137641210
chr1_134	36500700	36502880
chr1_1340	137529680	137531440
chr1_1341	137696590	137698520
chr1_1342	137527150	137529190
chr1_1343	137581480	137582630
chr1_1344	137586930	137589160
chr1_1345	137598400	137600180
chr1_1346	137607420	137608550
chr1_1347	137736410	137738470
chr1_1348	137740390	137742130
chr1_1349	137742220	137743290
chr1_135	36529930	36531340
chr1_1350	137748010	137748600
chr1_1351	137748840	137750610
chr1_1352	137738600	137740350
chr1_1353	138024360	138026800
chr1_1354	138037810	138039670
chr1_1355	138039760	138040840
chr1_1356	138123480	138124090
chr1_1357	138035910	138037670
chr1_1358	138128090	138130470
chr1_1359	138190620	138192090
chr1_136	35995100	35996680
chr1_1360	138221570	138223740
chr1_1361	138224700	138225880
chr1_1362	138227710	138229400
chr1_1363	138239710	138241870
chr1_1364	138252680	138252950
chr1_1365	138365750	138367890
chr1_1366	138310670	138313150
chr1_1367	138436420	138437230
chr1_1368	138521620	138521840
chr1_1369	138552990	138554170
chr1_137	36027730	36029580
chr1_1370	138585380	138587110
chr1_1371	138508790	138511060
chr1_1372	138594200	138596240
chr1_1373	138613770	138615790
chr1_1374	138616190	138616740
chr1_1375	139467400	139469400
chr1_1376	140186030	140187840
chr1_1377	140241360	140243080
chr1_1378	140227120	140229190
chr1_1379	140239260	140241230
chr1_138	36126020	36127890
chr1_1380	140244400	140246600
chr1_1381	140266230	140267620
chr1_1382	140313600	140315260
chr1_1383	140389450	140389810
chr1_1384	140412300	140414380
chr1_1385	140464400	140465950
chr1_1386	140467000	140469190
chr1_1387	140500190	140501110
chr1_1388	140502850	140504210
chr1_1389	140510860	140512930
chr1_139	36532100	36532910
chr1_1390	140513660	140516120
chr1_1391	140538830	140539320
chr1_1392	140551720	140553380
chr1_1393	140750880	140753150
chr1_1394	140878440	140880700
chr1_1395	140229820	140232250
chr1_1396	140409800	140412200
chr1_1397	140475810	140477540
chr1_1398	140541620	140542060
chr1_1399	141319000	141319610
chr1_14	7079290	7081700
chr1_140	36534760	36536110
chr1_1400	141320840	141322580
chr1_1401	141351780	141353310
chr1_1402	145401060	145403250
chr1_1403	145620310	145621420
chr1_1404	145548640	145549620
chr1_1405	145624600	145626400
chr1_1406	145320730	145322040
chr1_1407	145327760	145328660
chr1_1408	145330870	145332500
chr1_1409	145586570	145587570
chr1_141	36497370	36499350
chr1_1410	145622870	145624050
chr1_1411	145726760	145727490
chr1_1412	145748700	145749160
chr1_1413	145756280	145758380
chr1_1414	145776670	145777320
chr1_1415	145779080	145781600
chr1_1416	145788340	145789420
chr1_1417	145793300	145794420
chr1_1418	145799710	145800710
chr1_1419	145808630	145810740
chr1_142	36590960	36592520
chr1_1420	145844400	145846460
chr1_1421	145849000	145850080
chr1_1422	145850180	145852100
chr1_1423	151660330	151662750
chr1_1424	151709250	151710550
chr1_1425	151805920	151808320
chr1_1426	151821880	151823950
chr1_1427	151947400	151949120
chr1_1428	151949260	151950250
chr1_1429	151961620	151963750
chr1_143	36592580	36593340
chr1_1430	151991450	151993330
chr1_1431	152044190	152045790
chr1_1432	152240780	152242320
chr1_1433	152242430	152244080
chr1_1434	152312720	152313270
chr1_1435	151877730	151879720
chr1_1436	152010370	152011940
chr1_1437	151911250	151913310
chr1_1438	152237650	152239810
chr1_1439	151798360	151798970
chr1_144	36601910	36603750
chr1_1440	152305750	152307780
chr1_1441	152307900	152309220
chr1_1442	152326940	152328820
chr1_1443	152765090	152765860
chr1_1444	153191880	153193430
chr1_1445	153395920	153398440
chr1_1446	153476450	153477520
chr1_1447	153505390	153505910
chr1_1448	153510670	153511960
chr1_1449	153514010	153515940
chr1_145	36747700	36750040
chr1_1450	153523700	153525510
chr1_1451	153532460	153533460
chr1_1452	153535950	153536640
chr1_1453	153536760	153538910
chr1_1454	153539370	153541600
chr1_1455	153492890	153494950
chr1_1456	153508540	153510610
chr1_1457	153602850	153605200
chr1_1458	153566660	153568940
chr1_1459	153753050	153755320
chr1_146	36765100	36766650
chr1_1460	153760420	153761950
chr1_1461	153799720	153801160
chr1_1462	153794160	153795730
chr1_1463	153976930	153978340
chr1_1464	153931080	153933410
chr1_1465	154407210	154409690
chr1_1466	154418290	154418900
chr1_1467	154419600	154422010
chr1_1468	154422760	154424870
chr1_1469	154424950	154426740
chr1_147	36976320	36978180
chr1_1470	154428160	154430340
chr1_1471	154431680	154433530
chr1_1472	154446130	154448100
chr1_1473	154450570	154451250
chr1_1474	154456640	154458270
chr1_1475	154458660	154460870
chr1_1476	154471050	154472960
chr1_1477	154515780	154517640
chr1_1478	154371010	154371770
chr1_1479	154381450	154383390
chr1_148	36991370	36993220
chr1_1480	154383420	154384860
chr1_1481	154404710	154406550
chr1_1482	154523980	154525140
chr1_1483	154528680	154530720
chr1_1484	154534140	154535980
chr1_1485	154667450	154670080
chr1_1486	154856450	154857300
chr1_1487	154857490	154859660
chr1_1488	154860750	154862860
chr1_1489	154747330	154749630
chr1_149	37006370	37007820
chr1_1490	154802320	154804400
chr1_1491	154833600	154835060
chr1_1492	154839260	154840500
chr1_1493	154848880	154850420
chr1_1494	154909640	154910460
chr1_1495	154911760	154913200
chr1_1496	154915540	154917430
chr1_1497	154959370	154959500
chr1_1498	154971410	154972580
chr1_1499	154981980	154984320
chr1_15	7095020	7095470
chr1_150	36970490	36972890
chr1_1500	155071230	155073510
chr1_1501	154942980	154944630
chr1_1502	155073670	155075710
chr1_1503	154972600	154974130
chr1_1504	154974290	154976080
chr1_1505	154976280	154977770
chr1_1506	154977920	154980720
chr1_1507	154980870	154981900
chr1_1508	154991470	154992760
chr1_1509	154992880	154994300
chr1_151	37021600	37024020
chr1_1510	155009950	155011920
chr1_1511	155019130	155021080
chr1_1512	155027450	155028280
chr1_1513	155111550	155113520
chr1_1514	155120450	155121500
chr1_1515	155121720	155123400
chr1_1516	155128790	155130610
chr1_1517	155132090	155132780
chr1_1518	155138690	155139840
chr1_1519	155146130	155146870
chr1_152	36978360	36979520
chr1_1520	155151240	155153340
chr1_1521	155166540	155168920
chr1_1522	155372620	155374550
chr1_1523	155154480	155156860
chr1_1524	155353060	155355290
chr1_1525	155197930	155199040
chr1_1526	155418930	155420580
chr1_1527	155432170	155434380
chr1_1528	155508520	155509450
chr1_1529	155434450	155435670
chr1_153	37119830	37122300
chr1_1530	155531580	155533980
chr1_1531	155481590	155483680
chr1_1532	155567250	155568360
chr1_1533	155579530	155581200
chr1_1534	155583550	155584600
chr1_1535	155587640	155589090
chr1_1536	155747180	155749600
chr1_1537	155749910	155751660
chr1_1538	155753620	155754990
chr1_1539	155756850	155759300
chr1_154	37309890	37310680
chr1_1540	155786720	155788420
chr1_1541	155833220	155834750
chr1_1542	155856700	155858180
chr1_1543	155751820	155753470
chr1_1544	155927150	155929290
chr1_1545	155908430	155910830
chr1_1546	155911700	155913960
chr1_1547	156003250	156005210
chr1_1548	156921680	156923220
chr1_1549	156932980	156934480
chr1_155	37359340	37360490
chr1_1550	156940540	156941810
chr1_1551	156956760	156957840
chr1_1552	156968580	156971020
chr1_1553	157076260	157078310
chr1_1554	157083780	157085500
chr1_1555	157086170	157088250
chr1_1556	157090770	157093140
chr1_1557	157093640	157095690
chr1_1558	157150510	157151270
chr1_1559	156991370	156993760
chr1_156	37406960	37409410
chr1_1560	157288670	157290380
chr1_1561	157447360	157448540
chr1_1562	157319180	157320330
chr1_1563	157641770	157643450
chr1_1564	157652810	157653290
chr1_1565	157656890	157657960
chr1_1566	157658800	157661130
chr1_1567	157689870	157692090
chr1_1568	157818070	157819970
chr1_1569	157404790	157406740
chr1_157	37482850	37485180
chr1_1570	158146200	158147250
chr1_1571	158152200	158153960
chr1_1572	158274340	158275100
chr1_1573	158388370	158390810
chr1_1574	158401160	158402370
chr1_1575	158402730	158404270
chr1_1576	158488270	158489690
chr1_1577	158544960	158546840
chr1_1578	158568480	158570560
chr1_1579	158586070	158586600
chr1_158	37487330	37488130
chr1_1580	158587610	158589420
chr1_1581	158589880	158590760
chr1_1582	158350000	158352200
chr1_1583	158543700	158544910
chr1_1584	158599760	158600590
chr1_1585	158602580	158604210
chr1_1586	158647380	158648990
chr1_1587	158708710	158709980
chr1_1588	158547010	158548080
chr1_1589	158928030	158929530
chr1_159	37488420	37490240
chr1_1590	158990680	158993030
chr1_1591	159248220	159250180
chr1_1592	159309850	159311900
chr1_1593	159339750	159341860
chr1_1594	159436990	159438360
chr1_1595	159439740	159440990
chr1_1596	159272670	159274740
chr1_1597	159443090	159445110
chr1_1598	159185680	159188000
chr1_1599	159447620	159450050
chr1_16	9619860	9622190
chr1_160	37490660	37491620
chr1_1600	161116480	161118010
chr1_1601	160827120	160827860
chr1_1602	161028480	161030680
chr1_1603	161162980	161164490
chr1_1604	161183440	161183800
chr1_1605	161285320	161286170
chr1_1606	161322370	161324600
chr1_1607	161442320	161443650
chr1_1608	161464710	161466600
chr1_1609	161532050	161533320
chr1_161	37403520	37405090
chr1_1610	161168050	161170080
chr1_1611	161312240	161314020
chr1_1612	161694600	161695390
chr1_1613	161702950	161704510
chr1_1614	161762570	161763710
chr1_1615	161813850	161816180
chr1_1616	161818500	161820600
chr1_1617	161852500	161854220
chr1_1618	161855050	161856400
chr1_1619	161862000	161864080
chr1_162	37485270	37486710
chr1_1620	161879550	161881700
chr1_1621	161919400	161921100
chr1_1622	161974880	161977340
chr1_1623	161977420	161979060
chr1_1624	161982510	161985240
chr1_1625	162079050	162081330
chr1_1626	162125440	162127070
chr1_1627	162140400	162142770
chr1_1628	162157380	162158690
chr1_1629	162163810	162165190
chr1_163	37920180	37921860
chr1_1630	162199470	162200520
chr1_1631	162208500	162210830
chr1_1632	162211720	162213210
chr1_1633	162226660	162229010
chr1_1634	161615700	161617760
chr1_1635	162300330	162301480
chr1_1636	162303350	162303940
chr1_1637	162450300	162452510
chr1_1638	162478180	162479190
chr1_1639	162518420	162520250
chr1_164	37929170	37931070
chr1_1640	162547280	162549720
chr1_1641	162622220	162623940
chr1_1642	162955370	162956370
chr1_1643	162967670	162968580
chr1_1644	162972060	162973200
chr1_1645	162957350	162957880
chr1_1646	162962890	162964210
chr1_1647	163001480	163003010
chr1_1648	163060580	163061850
chr1_1649	163176860	163179480
chr1_165	37945800	37947000
chr1_1650	163179600	163181150
chr1_1651	163198160	163200260
chr1_1652	163436610	163438580
chr1_1653	163664740	163665530
chr1_1654	163804870	163806440
chr1_1655	163898350	163900350
chr1_1656	163935460	163936700
chr1_1657	163932880	163935090
chr1_1658	163944580	163946450
chr1_1659	163946610	163949080
chr1_166	38052680	38053950
chr1_1660	163950120	163952370
chr1_1661	163967980	163970410
chr1_1662	164005910	164007190
chr1_1663	164011570	164013760
chr1_1664	164014270	164016470
chr1_1665	164023100	164025270
chr1_1666	164029300	164029790
chr1_1667	164030260	164032610
chr1_1668	164063720	164066400
chr1_1669	164066470	164067450
chr1_167	38055160	38057200
chr1_1670	164102580	164104240
chr1_1671	164109550	164112180
chr1_1672	164112940	164115350
chr1_1673	164116110	164118250
chr1_1674	164132650	164133720
chr1_1675	164136780	164138320
chr1_1676	164139360	164140470
chr1_1677	164142530	164144300
chr1_1678	164146300	164148390
chr1_1679	164155680	164156490
chr1_168	38184220	38186300
chr1_1680	164168780	164169780
chr1_1681	164171960	164174460
chr1_1682	164183670	164184810
chr1_1683	164211640	164213260
chr1_1684	164223680	164225680
chr1_1685	164225760	164227810
chr1_1686	164229720	164230860
chr1_1687	164241590	164243690
chr1_1688	164252200	164253960
chr1_1689	164254510	164255250
chr1_169	38297720	38299830
chr1_1690	164438820	164440720
chr1_1691	164489890	164490950
chr1_1692	164501010	164503200
chr1_1693	164232450	164233650
chr1_1694	164573150	164574990
chr1_1695	164623300	164625040
chr1_1696	164668300	164670450
chr1_1697	164783200	164785600
chr1_1698	164884650	164885800
chr1_1699	164885940	164888360
chr1_17	9648430	9650080
chr1_170	38303940	38305980
chr1_1700	164888720	164890390
chr1_1701	164892980	164894600
chr1_1702	164988300	164990740
chr1_1703	164990890	164992350
chr1_1704	164821800	164823220
chr1_1705	164882000	164883920
chr1_1706	165050150	165051580
chr1_1707	165070480	165072740
chr1_1708	165089690	165090940
chr1_1709	165211520	165214010
chr1_171	38296330	38296770
chr1_1710	165214080	165215980
chr1_1711	165219560	165220370
chr1_1712	165240240	165242520
chr1_1713	165256320	165258220
chr1_1714	165285170	165287220
chr1_1715	165287350	165290030
chr1_1716	165303890	165306120
chr1_1717	165307690	165308380
chr1_1718	165373170	165375080
chr1_1719	165381080	165381700
chr1_172	38342940	38344600
chr1_1720	165503420	165505740
chr1_1721	165493740	165494880
chr1_1722	165059090	165061080
chr1_1723	165434920	165436680
chr1_1724	165441690	165443070
chr1_1725	165447320	165449220
chr1_1726	165505820	165506970
chr1_1727	165530090	165531430
chr1_1728	165537480	165538380
chr1_1729	165547380	165548790
chr1_173	38347810	38350270
chr1_1730	165428160	165429800
chr1_1731	165710030	165710950
chr1_1732	165775020	165776650
chr1_1733	165859460	165859890
chr1_1734	165860310	165862400
chr1_1735	165924340	165926040
chr1_1736	166082450	166083880
chr1_1737	166205600	166207550
chr1_1738	166236640	166239140
chr1_1739	166349020	166350190
chr1_174	38377000	38379190
chr1_1740	166383740	166385660
chr1_1741	166385730	166387890
chr1_1742	166455350	166457420
chr1_1743	166519550	166521010
chr1_1744	166558660	166559450
chr1_1745	166611670	166612060
chr1_1746	166922000	166924400
chr1_1747	167005180	167006610
chr1_1748	167013660	167015450
chr1_1749	167122300	167124370
chr1_175	38390560	38391820
chr1_1750	167163850	167164280
chr1_1751	167177080	167179270
chr1_1752	167210740	167213210
chr1_1753	167367950	167369460
chr1_1754	167388160	167390260
chr1_1755	167391640	167392990
chr1_1756	167414880	167417320
chr1_1757	167562770	167565200
chr1_1758	167694260	167695590
chr1_1759	167763490	167765750
chr1_176	38463380	38465730
chr1_1760	167765860	167768360
chr1_1761	167930310	167932690
chr1_1762	167973820	167976440
chr1_1763	167977630	167980100
chr1_1764	167958980	167960350
chr1_1765	168309600	168311230
chr1_1766	168898110	168898860
chr1_1767	169171780	169174050
chr1_1768	169203120	169205470
chr1_1769	169237720	169239430
chr1_177	38458740	38459580
chr1_1770	169239510	169241250
chr1_1771	169294780	169297530
chr1_1772	169307460	169308930
chr1_1773	169316760	169319140
chr1_1774	169322100	169323880
chr1_1775	169212600	169214900
chr1_1776	169880960	169882950
chr1_1777	169932210	169933800
chr1_1778	170038820	170040860
chr1_1779	170162160	170163370
chr1_178	38462420	38463340
chr1_1780	170189130	170191050
chr1_1781	170274340	170276000
chr1_1782	170284600	170286840
chr1_1783	170292190	170293160
chr1_1784	170321240	170322960
chr1_1785	170164200	170165180
chr1_1786	170213350	170215060
chr1_1787	170158750	170160600
chr1_1788	170255710	170256740
chr1_1789	170258300	170258680
chr1_179	38602550	38603150
chr1_1790	170271500	170273020
chr1_1791	170352380	170354850
chr1_1792	170355970	170356920
chr1_1793	170356940	170358800
chr1_1794	170403380	170404390
chr1_1795	170432300	170432860
chr1_1796	170514050	170515950
chr1_1797	170561580	170563400
chr1_1798	170310160	170312020
chr1_1799	170359150	170361440
chr1_18	9688300	9690010
chr1_180	38605340	38607640
chr1_1800	171459800	171461450
chr1_1801	171485840	171486740
chr1_1802	171778250	171779870
chr1_1803	171634100	171635800
chr1_1804	171676180	171677610
chr1_1805	171705700	171707550
chr1_1806	171746510	171748530
chr1_1807	171900930	171901910
chr1_1808	171928630	171929500
chr1_1809	171935430	171936890
chr1_181	38609200	38611560
chr1_1810	171940900	171941700
chr1_1811	171963920	171966040
chr1_1812	171981570	171982300
chr1_1813	171985720	171986860
chr1_1814	171987080	171988940
chr1_1815	171989020	171990990
chr1_1816	171994170	171995990
chr1_1817	172038960	172041450
chr1_1818	172072700	172075270
chr1_1819	172075580	172077200
chr1_182	38791640	38793670
chr1_1820	172077390	172079400
chr1_1821	172118240	172121010
chr1_1822	172097330	172099030
chr1_1823	171878560	171879660
chr1_1824	171895910	171897360
chr1_1825	172103610	172104880
chr1_1826	172575220	172575680
chr1_1827	172596920	172598880
chr1_1828	172620040	172622610
chr1_1829	172648220	172650610
chr1_183	38863810	38864680
chr1_1830	172650890	172652640
chr1_1831	172661780	172663510
chr1_1832	172576790	172577810
chr1_1833	172594600	172596640
chr1_1834	172624680	172626300
chr1_1835	172626570	172628760
chr1_1836	172628940	172630630
chr1_1837	172664720	172665600
chr1_1838	172783120	172785240
chr1_1839	172796340	172798250
chr1_184	39044690	39046560
chr1_1840	172812900	172815190
chr1_1841	172841020	172843040
chr1_1842	172891500	172893450
