HGNC:16049	ENSG00000110958	MGI:1929282,MGI:3704271	ENSMUSG00000071072,ENSMUSG00000040078
HGNC:44424,HGNC:26161	ENSG00000103426,ENSG00000262246	MGI:1926135	ENSMUSG00000039637
HGNC:18087,HGNC:29930	ENSG00000186562,ENSG00000186599	MGI:1924924	ENSMUSG00000043787
HGNC:20397	ENSG00000166669	MGI:5454169,MGI:1922579	ENSMUSG00000088761,ENSMUSG00000039200
HGNC:15245	ENSG00000181023	MGI:3030338,MGI:3030491	ENSMUSG00000060105,ENSMUSG00000073923
HGNC:23950,HGNC:18568	ENSG00000169953,ENSG00000172468	MGI:1918316	ENSMUSG00000045336
HGNC:1814	ENSG00000079385	MGI:1347246,MGI:1347245	ENSMUSG00000054385,ENSMUSG00000074272
HGNC:5425	ENSG00000236637	MGI:107661,MGI:107662,MGI:107666,MGI:107663,MGI:107659,MGI:3641425,MGI:3649260,MGI:3649418,MGI:2676324,MGI:107668,MGI:2667155,MGI:1097683,MGI:109210	ENSMUSG00000100713,ENSMUSG00000101252,ENSMUSG00000078354,ENSMUSG00000096682,ENSMUSG00000095270,ENSMUSG00000095896,ENSMUSG00000078355,ENSMUSG00000096011,ENSMUSG00000073811,ENSMUSG00000095498,ENSMUSG00000063376,ENSMUSG00000100079,ENSMUSG00000100549
HGNC:24074,HGNC:28415	ENSG00000182330,ENSG00000204510	MGI:2140473	ENSMUSG00000046862
HGNC:11458	ENSG00000105398	MGI:3648378,MGI:3648915,MGI:3645854,MGI:3645873,MGI:98430	ENSMUSG00000078799,ENSMUSG00000070810,ENSMUSG00000074377,ENSMUSG00000074375,ENSMUSG00000078798
HGNC:18661	ENSG00000118997	MGI:2685838,MGI:2684953,MGI:3639762	ENSMUSG00000096141,ENSMUSG00000041144,ENSMUSG00000101337
HGNC:6096,HGNC:19941	ENSG00000185176,ENSG00000184945	MGI:2664636	ENSMUSG00000045091
HGNC:33147,HGNC:20694	ENSG00000186787,ENSG00000147059	MGI:3645574,MGI:1922101,MGI:3647272,MGI:5434821,MGI:3645924,MGI:3805546,MGI:5434992,MGI:3705652,MGI:3650966,MGI:3781932,MGI:5434847,MGI:3781026,MGI:3781070	ENSMUSG00000085877,ENSMUSG00000079566,ENSMUSG00000094601,null,ENSMUSG00000114897,ENSMUSG00000086081,ENSMUSG00000095770,ENSMUSG00000080072,ENSMUSG00000080300,ENSMUSG00000078212,ENSMUSG00000096645,ENSMUSG00000114725,ENSMUSG00000079649
HGNC:11338,HGNC:16880	ENSG00000268009,ENSG00000269791	MGI:2446771	ENSMUSG00000023165
HGNC:12539,HGNC:12531,HGNC:12541,HGNC:12540	ENSG00000244122,ENSG00000242515,ENSG00000241119,ENSG00000242366	MGI:3580642,MGI:3576092	ENSMUSG00000090165,ENSMUSG00000090175
HGNC:13722	ENSG00000102898	MGI:3704482,MGI:1915301	ENSMUSG00000094111,ENSMUSG00000008450
HGNC:28748,HGNC:20922	ENSG00000181625,ENSG00000132207	MGI:1915220	ENSMUSG00000059772
HGNC:16013,HGNC:40043	ENSG00000115239	MGI:1929749	ENSMUSG00000020305
HGNC:4827	ENSG00000244734	MGI:5474852,MGI:5474850	ENSMUSG00000052305,ENSMUSG00000073940
HGNC:4408	ENSG00000174021	MGI:3783217,MGI:109164	ENSMUSG00000082241,ENSMUSG00000068523
HGNC:42964	ENSG00000270011	MGI:3779822,MGI:2441662,MGI:3708667	ENSMUSG00000078896,ENSMUSG00000078861,ENSMUSG00000074527
HGNC:5407	ENSG00000185745	MGI:3650685,MGI:2148249	ENSMUSG00000079339,ENSMUSG00000067297
HGNC:11697	ENSG00000146425	MGI:3780996,MGI:3807506,MGI:98643,MGI:3807476	ENSMUSG00000095677,ENSMUSG00000092074,ENSMUSG00000096255,ENSMUSG00000000579
HGNC:37274	ENSG00000256980	MGI:2676610,MGI:2138477,MGI:3583007	ENSMUSG00000067750,ENSMUSG00000085079,ENSMUSG00000041722
HGNC:14900	ENSG00000127318	MGI:2151139,MGI:1355307	ENSMUSG00000090461,ENSMUSG00000074695
HGNC:12505	ENSG00000102178	MGI:5621304,MGI:95049	null,ENSMUSG00000015290
HGNC:2665	ENSG00000196352	MGI:104849,MGI:104850	ENSMUSG00000026401,ENSMUSG00000026399
HGNC:31305	ENSG00000185821	MGI:3030632,MGI:3030626	ENSMUSG00000095002,ENSMUSG00000094496
HGNC:29674	ENSG00000139547	MGI:2143528,MGI:3583955,MGI:1201375,MGI:1195275,MGI:2678390	ENSMUSG00000056148,ENSMUSG00000074639,ENSMUSG00000069456,ENSMUSG00000089789,ENSMUSG00000054052
HGNC:23163,HGNC:38843	ENSG00000175279,ENSG00000251503	MGI:1917178	ENSMUSG00000073705
HGNC:8467	ENSG00000170920	MGI:3030668,MGI:3030666	ENSMUSG00000095525,ENSMUSG00000095957
HGNC:5967	ENSG00000137070	MGI:107426,MGI:3801997,MGI:109123,MGI:3780172	ENSMUSG00000073889,ENSMUSG00000073876,ENSMUSG00000078735
HGNC:20877	ENSG00000198342	MGI:3782921,MGI:3709298,MGI:3702875,MGI:3782904,MGI:3780195,MGI:3652255,MGI:3652251,MGI:3709288,MGI:1261426,MGI:3702417,MGI:3709324,MGI:3709638,MGI:3709632,MGI:3779623	ENSMUSG00000078880,ENSMUSG00000078862,ENSMUSG00000095362,ENSMUSG00000078897,ENSMUSG00000078886,ENSMUSG00000078866,ENSMUSG00000078868,ENSMUSG00000089756,ENSMUSG00000074519,ENSMUSG00000078881,ENSMUSG00000078903,ENSMUSG00000095199,ENSMUSG00000078878,ENSMUSG00000078887
HGNC:28089,HGNC:17402	ENSG00000197620,ENSG00000197021	MGI:1915868	ENSMUSG00000045237
HGNC:2436	ENSG00000100368	MGI:1339760,MGI:1339759	ENSMUSG00000071714,ENSMUSG00000071713
HGNC:1323,HGNC:1324	ENSG00000244731,ENSG00000224389	MGI:98320,MGI:88228	ENSMUSG00000015451,ENSMUSG00000073418
HGNC:19094	ENSG00000104951	MGI:109552,MGI:5439399	ENSMUSG00000074141,null
HGNC:14837	ENSG00000174339	MGI:3031219,MGI:3031220	ENSMUSG00000059729,ENSMUSG00000108167
HGNC:7699	ENSG00000065518	MGI:1915444,MGI:3781422,MGI:3782046	ENSMUSG00000022820,ENSMUSG00000083380,null
HGNC:3620,HGNC:3619	ENSG00000162747,ENSG00000203747	MGI:2179523	ENSMUSG00000059089
HGNC:8178	ENSG00000280236	MGI:2177485,MGI:2177484	ENSMUSG00000091531,ENSMUSG00000092077
HGNC:6608	ENSG00000186818	MGI:102702,MGI:102701	ENSMUSG00000112023,ENSMUSG00000112148
HGNC:199	ENSG00000134007	MGI:2152342,MGI:3045694,MGI:1345157	ENSMUSG00000046282,ENSMUSG00000054033,ENSMUSG00000071937
HGNC:21054	ENSG00000130363	MGI:3630308,MGI:1914082	ENSMUSG00000023806,ENSMUSG00000073471
HGNC:14718	ENSG00000172377	MGI:3031339,MGI:3031336	ENSMUSG00000062314,ENSMUSG00000056858
HGNC:18570	ENSG00000153779	MGI:2387796,MGI:3800824	ENSMUSG00000100133,ENSMUSG00000100194
HGNC:12570	ENSG00000112494	MGI:1933250,MGI:3712668	ENSMUSG00000067049,ENSMUSG00000056133
HGNC:33892,HGNC:33891,HGNC:29344	ENSG00000183246,ENSG00000274600,ENSG00000275793	MGI:2685449	ENSMUSG00000071636
HGNC:8471,HGNC:8472	ENSG00000284680,ENSG00000284609	MGI:2660712	ENSMUSG00000049098
HGNC:7892	ENSG00000198805	MGI:3712328,MGI:97365	ENSMUSG00000068417,ENSMUSG00000115338
HGNC:23334,HGNC:546	ENSG00000264230,ENSG00000265190	MGI:1201374	ENSMUSG00000021950
HGNC:31275,HGNC:8300,HGNC:15079,HGNC:19583	ENSG00000284733,ENSG00000230178,ENSG00000284662,ENSG00000176269	MGI:3031137	ENSMUSG00000093804
HGNC:31849,HGNC:31850,HGNC:3547	ENSG00000274791,ENSG00000277150,ENSG00000277203	MGI:95474	ENSMUSG00000078317
HGNC:2638	ENSG00000106258	MGI:3714859,MGI:88609,MGI:106099,MGI:1858451,MGI:2449818	ENSMUSG00000075552,ENSMUSG00000056035,ENSMUSG00000038656,ENSMUSG00000075551,ENSMUSG00000054417
HGNC:39602,HGNC:53888	ENSG00000222018,ENSG00000277277	MGI:1922578	ENSMUSG00000051728
HGNC:2623	ENSG00000138109	MGI:1917138,MGI:1919553	ENSMUSG00000067229,ENSMUSG00000067231
HGNC:32935	ENSG00000196600	MGI:3645714,MGI:2442750,MGI:3042283,MGI:3605624	ENSMUSG00000063590,ENSMUSG00000052562,ENSMUSG00000067656,ENSMUSG00000075044
HGNC:24553	ENSG00000204071	MGI:1913354,MGI:1923939	ENSMUSG00000044550,ENSMUSG00000031409
HGNC:4638	ENSG00000084207	MGI:3782108,MGI:95864,MGI:95865	ENSMUSG00000103653,ENSMUSG00000038155,ENSMUSG00000060803
HGNC:23438,HGNC:23445	ENSG00000184923,ENSG00000188199	MGI:2685652	ENSMUSG00000071909
HGNC:15016	ENSG00000196944	MGI:3030159,MGI:3030163,MGI:3030164,MGI:3030165,MGI:3030162,MGI:3030058	ENSMUSG00000060765,ENSMUSG00000064252,ENSMUSG00000050818,ENSMUSG00000058807,ENSMUSG00000057654,ENSMUSG00000059279
HGNC:19569	ENSG00000187080	MGI:3030150,MGI:3030155,MGI:3030152	ENSMUSG00000107677,ENSMUSG00000107711,ENSMUSG00000108265
HGNC:10513	ENSG00000173432	MGI:98221,MGI:98222	ENSMUSG00000074115,ENSMUSG00000057465
HGNC:10617	ENSG00000172724	MGI:3780192,MGI:3693096,MGI:3702000,MGI:5434459,MGI:3780624,MGI:1346316,MGI:1891387,MGI:3708691	ENSMUSG00000095298,ENSMUSG00000118633,null,ENSMUSG00000071005,ENSMUSG00000082902,ENSMUSG00000091938
HGNC:8086	ENSG00000089127	MGI:97429,MGI:2180860	ENSMUSG00000066861,ENSMUSG00000052776
HGNC:6808	ENSG00000214107	MGI:105109,MGI:105117,MGI:105118	ENSMUSG00000074881,ENSMUSG00000073069,ENSMUSG00000062162
HGNC:5411	ENSG00000119917	MGI:3698419,MGI:1101055	ENSMUSG00000062488,ENSMUSG00000074896
HGNC:1085	ENSG00000104765	MGI:3642435,MGI:1332659	ENSMUSG00000073198,ENSMUSG00000022051
HGNC:7151	ENSG00000147697	MGI:3580656,MGI:1921798,MGI:1933176,MGI:2146102	ENSMUSG00000055827,ENSMUSG00000055748,ENSMUSG00000079025,ENSMUSG00000056293
HGNC:15928	ENSG00000101307	MGI:3779828,MGI:3807521,MGI:2444824	ENSMUSG00000095028,ENSMUSG00000074677,ENSMUSG00000095788
HGNC:16998	ENSG00000170348	MGI:1915831,MGI:3782198	ENSMUSG00000021248,ENSMUSG00000114251
HGNC:8294	ENSG00000255713	MGI:3030296,MGI:3030297	ENSMUSG00000093839,ENSMUSG00000093920
HGNC:26928	ENSG00000091527	MGI:2448759,MGI:3646628	ENSMUSG00000032803,ENSMUSG00000090389
HGNC:17983	ENSG00000183695	MGI:3588270,MGI:3033115	ENSMUSG00000074109,ENSMUSG00000070547
HGNC:22943	ENSG00000160505	MGI:3056600,MGI:1890518	ENSMUSG00000045693,ENSMUSG00000034690
HGNC:32310	ENSG00000183808	MGI:1924854,MGI:1919647	ENSMUSG00000052137,ENSMUSG00000046667
HGNC:11700	ENSG00000139372	MGI:3645587,MGI:108247	ENSMUSG00000047347,ENSMUSG00000034674
HGNC:4823,HGNC:4824	ENSG00000206172,ENSG00000188536	MGI:96015,MGI:96016	ENSMUSG00000069919,ENSMUSG00000069917
HGNC:18365	ENSG00000197110	MGI:2450574,MGI:3647279	ENSMUSG00000060747,ENSMUSG00000059128
HGNC:9486	ENSG00000010438	MGI:102757,MGI:102756	ENSMUSG00000054106,ENSMUSG00000036938
HGNC:11695	ENSG00000184786	MGI:3781595,MGI:3809205,MGI:98642	ENSMUSG00000116780,ENSMUSG00000079710,ENSMUSG00000079707
HGNC:20765	ENSG00000152086	MGI:1095406,MGI:1095408	ENSMUSG00000067702,ENSMUSG00000067338
HGNC:33156	ENSG00000212747	MGI:3576504,MGI:1913408	ENSMUSG00000067924,ENSMUSG00000067925
HGNC:15356	ENSG00000176246	MGI:3030558,MGI:3030557	ENSMUSG00000096254,ENSMUSG00000093825
HGNC:34229,HGNC:30891	ENSG00000215113,ENSG00000215115	MGI:3646776	ENSMUSG00000045010
HGNC:12554	ENSG00000171234	MGI:3576103,MGI:3576100	ENSMUSG00000070704,ENSMUSG00000035811
HGNC:33920	ENSG00000205045	MGI:1329010,MGI:1329005	ENSMUSG00000000204,ENSMUSG00000018986
HGNC:11117,HGNC:11118	ENSG00000172062,ENSG00000205571	MGI:109257	ENSMUSG00000021645
HGNC:10045	ENSG00000169385	MGI:1890465,MGI:1858598	ENSMUSG00000047222,ENSMUSG00000059606
HGNC:33440	ENSG00000258588	MGI:2137359,MGI:4821264	ENSMUSG00000056144,ENSMUSG00000090215
HGNC:23416,HGNC:23414	ENSG00000099290,ENSG00000172661	MGI:106463	ENSMUSG00000024104
HGNC:8349	ENSG00000232382	MGI:3030007,MGI:3030006	ENSMUSG00000049362,ENSMUSG00000071510
HGNC:3270	ENSG00000104131	MGI:3704486,MGI:1925905	ENSMUSG00000043424,ENSMUSG00000027236
HGNC:32007,HGNC:32003,HGNC:23394,HGNC:32005,HGNC:32006	ENSG00000276040,ENSG00000275969,ENSG00000204849,ENSG00000276581,ENSG00000185775	MGI:1925374	ENSMUSG00000056223
HGNC:20371	ENSG00000174886	MGI:3645174,MGI:1917125	ENSMUSG00000068487,ENSMUSG00000002379
HGNC:10008,HGNC:10009	ENSG00000188672,ENSG00000187010	MGI:1202882	ENSMUSG00000028825
HGNC:10620	ENSG00000137077	MGI:3711256,MGI:1891386,MGI:3710514,MGI:5434896,MGI:3780156,MGI:1349183,MGI:1349182	ENSMUSG00000096596,ENSMUSG00000073878,ENSMUSG00000094065,ENSMUSG00000094686,ENSMUSG00000095675
HGNC:10626	ENSG00000213927	MGI:3780673,MGI:3713752,MGI:1891389	ENSMUSG00000073877,ENSMUSG00000096826
HGNC:1579	ENSG00000134057	MGI:3648694,MGI:88302	ENSMUSG00000048574,ENSMUSG00000041431
HGNC:4375	ENSG00000104499	MGI:3644767,MGI:1341831	ENSMUSG00000068349,ENSMUSG00000068600
HGNC:11123	ENSG00000102172	MGI:109490,MGI:3705601	ENSMUSG00000071708,ENSMUSG00000081752
HGNC:6444	ENSG00000185479	MGI:1333768,MGI:1100845	ENSMUSG00000023041,ENSMUSG00000058354
HGNC:19142,HGNC:31353	ENSG00000171478,ENSG00000171489	MGI:2685564	ENSMUSG00000037167
HGNC:38476,HGNC:5870	ENSG00000254709,ENSG00000128322	MGI:96529	ENSMUSG00000075370
HGNC:16276	ENSG00000132256	MGI:3646853,MGI:4821183	ENSMUSG00000060441,ENSMUSG00000057143
HGNC:17418	ENSG00000182798	MGI:3643982,MGI:3645128	ENSMUSG00000094861,ENSMUSG00000078123
HGNC:34447,HGNC:6568	ENSG00000178934,ENSG00000205076	MGI:1316742	ENSMUSG00000053522
HGNC:9112,HGNC:42953	ENSG00000160783,ENSG00000260238	MGI:1914287	ENSMUSG00000028066
HGNC:10530	ENSG00000150459	MGI:1277978,MGI:3704317	ENSMUSG00000021963,ENSMUSG00000061104
HGNC:6740	ENSG00000090382	MGI:96897,MGI:96902	ENSMUSG00000069516,ENSMUSG00000069515
HGNC:14819	ENSG00000172640	MGI:3030121,MGI:3030122	ENSMUSG00000090129,ENSMUSG00000075427
HGNC:4642,HGNC:33437	ENSG00000099984,ENSG00000133433	MGI:106188	ENSMUSG00000033318
HGNC:4374	ENSG00000130755	MGI:3704264,MGI:1927135	ENSMUSG00000083041,ENSMUSG00000060791
HGNC:28802	ENSG00000141428	MGI:1915296,MGI:3644174	ENSMUSG00000024273,ENSMUSG00000112068
HGNC:10362	ENSG00000089009	MGI:3647789,MGI:108057	ENSMUSG00000091086,ENSMUSG00000029614
HGNC:8244	ENSG00000166368	MGI:3647188,MGI:3030549	ENSMUSG00000062987,ENSMUSG00000060503
HGNC:28062	ENSG00000204611	MGI:3712454,MGI:5590069,MGI:1328322,MGI:3701604,MGI:2148252,MGI:3651014,MGI:3705222,MGI:3702694,MGI:3700963,MGI:3651986,MGI:3651978,MGI:3650650,MGI:3700965	ENSMUSG00000058186,ENSMUSG00000067919,ENSMUSG00000067916,ENSMUSG00000066000,ENSMUSG00000078502,ENSMUSG00000066007,ENSMUSG00000066009,ENSMUSG00000070605,ENSMUSG00000065999,ENSMUSG00000078495,ENSMUSG00000062518,ENSMUSG00000056300
HGNC:6448	ENSG00000094796	MGI:1309991,MGI:1309993,MGI:1919138	ENSMUSG00000057723,ENSMUSG00000048981,ENSMUSG00000035592
HGNC:7694	ENSG00000004779	MGI:1917566,MGI:4936891	ENSMUSG00000030869,ENSMUSG00000091989
HGNC:10756,HGNC:10755	ENSG00000205572,ENSG00000172058	MGI:1337114	ENSMUSG00000021643
HGNC:7713	ENSG00000145494	MGI:107932,MGI:3648526	ENSMUSG00000021606,ENSMUSG00000083820
HGNC:8941	ENSG00000197249	MGI:891971,MGI:891967,MGI:891968,MGI:891969,MGI:891970	ENSMUSG00000066366,ENSMUSG00000072849,ENSMUSG00000071177,ENSMUSG00000079015,ENSMUSG00000071178
HGNC:51257	ENSG00000281887	MGI:2442232,MGI:1932723	ENSMUSG00000043505,ENSMUSG00000039264
HGNC:13068	ENSG00000171606	MGI:2176229,MGI:1890378	ENSMUSG00000021514,ENSMUSG00000058638
HGNC:2018	ENSG00000016602	MGI:2139790,MGI:2139744	ENSMUSG00000074195,ENSMUSG00000068547
HGNC:8172	ENSG00000186723	MGI:1333751,MGI:3030073	ENSMUSG00000094891,ENSMUSG00000093884
HGNC:33530,HGNC:24714	ENSG00000254996,ENSG00000131503	MGI:1921733	ENSMUSG00000024483
HGNC:3999	ENSG00000087086	MGI:5434102,MGI:95589	ENSMUSG00000096755,ENSMUSG00000050708
HGNC:15391	ENSG00000181733	MGI:3030207,MGI:3030206	ENSMUSG00000061561,ENSMUSG00000069998
HGNC:5010	ENSG00000137309	MGI:96160,MGI:96161	ENSMUSG00000046711,ENSMUSG00000078249
HGNC:10307	ENSG00000265681	MGI:2448270,MGI:3802129	ENSMUSG00000062328,ENSMUSG00000082035
HGNC:18477	ENSG00000053372	MGI:3644169,MGI:3779507,MGI:1917152	ENSMUSG00000113749,ENSMUSG00000091105,ENSMUSG00000028741
HGNC:16916	ENSG00000132514	MGI:96975,MGI:2385729	ENSMUSG00000000318,ENSMUSG00000040950
HGNC:15748	ENSG00000171864	MGI:97767,MGI:1346999	ENSMUSG00000098754,ENSMUSG00000027338
HGNC:14964	ENSG00000146385	MGI:2685995,MGI:3527452,MGI:2685076	ENSMUSG00000100186,ENSMUSG00000100004,ENSMUSG00000096442
HGNC:14573	ENSG00000197217	MGI:5435040,MGI:1914714	ENSMUSG00000022066,ENSMUSG00000095463
HGNC:6053	ENSG00000178035	MGI:3705743,MGI:109367	ENSMUSG00000071041,ENSMUSG00000062867
HGNC:21645	ENSG00000106153	MGI:3649942,MGI:1261428	ENSMUSG00000094320,ENSMUSG00000070493
HGNC:3500	ENSG00000185862	MGI:5439444,MGI:1890682	ENSMUSG00000070354,ENSMUSG00000093938
HGNC:53816,HGNC:1273	ENSG00000280071,ENSG00000160221	MGI:1351861	ENSMUSG00000053329
HGNC:23795	ENSG00000188408	MGI:3712084,MGI:2148169	ENSMUSG00000064129,ENSMUSG00000061392
HGNC:16	ENSG00000196136	MGI:105045,MGI:98377,MGI:98378,MGI:102848	ENSMUSG00000021091,ENSMUSG00000058207,ENSMUSG00000079012,ENSMUSG00000066361
HGNC:18277	ENSG00000132432	MGI:1202066,MGI:3649592,MGI:3651892,MGI:3782360	ENSMUSG00000078974,ENSMUSG00000081562,ENSMUSG00000082891,null
HGNC:21686	ENSG00000026297	MGI:3702087,MGI:1915445	ENSMUSG00000094724,ENSMUSG00000095687
HGNC:37172	ENSG00000206260	MGI:1919229,MGI:3645937,MGI:3645743	ENSMUSG00000090470,ENSMUSG00000063058,ENSMUSG00000091080
HGNC:15167	ENSG00000172188	MGI:3031035,MGI:3031040,MGI:3031039	ENSMUSG00000059023,ENSMUSG00000062757,ENSMUSG00000057447
HGNC:4736,HGNC:29668	ENSG00000203812,ENSG00000272196	MGI:2448283,MGI:96097	ENSMUSG00000063954,ENSMUSG00000064220
HGNC:28229	ENSG00000139233	MGI:3649506,MGI:1913475,MGI:3642864	ENSMUSG00000081459,ENSMUSG00000020224,ENSMUSG00000083364
HGNC:2388,HGNC:51901	ENSG00000160202,ENSG00000276076	MGI:88515	ENSMUSG00000024041
HGNC:5401	ENSG00000135899	MGI:3783195,MGI:1923364,MGI:3783243	ENSMUSG00000082088,ENSMUSG00000070034,ENSMUSG00000079455
HGNC:41911	ENSG00000205108	MGI:3701946,MGI:3651059,MGI:5434953,MGI:5434294	ENSMUSG00000094066,ENSMUSG00000078721,ENSMUSG00000093996,ENSMUSG00000078746
HGNC:12854	ENSG00000134308	MGI:891963,MGI:3650241	ENSMUSG00000076432,ENSMUSG00000080902
HGNC:39814,HGNC:18107	ENSG00000233050,ENSG00000232948	MGI:3644478	ENSMUSG00000075573
HGNC:37206,HGNC:53435,HGNC:37205,HGNC:37204,HGNC:18532	ENSG00000205718,ENSG00000196589,ENSG00000182315,ENSG00000237247,ENSG00000230522	MGI:2158460	ENSMUSG00000047508
HGNC:17024	ENSG00000136147	MGI:1918441,MGI:3645789,MGI:1277133,MGI:3648476	ENSMUSG00000044703,ENSMUSG00000091649,ENSMUSG00000068245,ENSMUSG00000091144
HGNC:3048	ENSG00000134760	MGI:2664357,MGI:94930	ENSMUSG00000061928,ENSMUSG00000069441
HGNC:26625	ENSG00000145626	MGI:2145969,MGI:2146055	ENSMUSG00000049152,ENSMUSG00000072664
HGNC:4963	ENSG00000204642	MGI:3647514,MGI:3779381	ENSMUSG00000092243,ENSMUSG00000079492
HGNC:14786	ENSG00000184478	MGI:3030515,MGI:3030513	ENSMUSG00000095248,ENSMUSG00000096029
HGNC:19662	ENSG00000182793	MGI:3704339,MGI:3826440,MGI:1095417,MGI:95863	ENSMUSG00000074179,ENSMUSG00000111709,ENSMUSG00000074183,ENSMUSG00000057933
HGNC:8481	ENSG00000196341	MGI:109309,MGI:3030767	ENSMUSG00000047667,ENSMUSG00000058515
HGNC:385,HGNC:384	ENSG00000151632,ENSG00000187134	MGI:1924587	ENSMUSG00000021207
HGNC:27603	ENSG00000197782	MGI:3584526,MGI:2148237	ENSMUSG00000020420,ENSMUSG00000057093
HGNC:28392	ENSG00000173401	MGI:3620621,MGI:1916536	ENSMUSG00000112611,ENSMUSG00000020213
HGNC:32464	ENSG00000196350	MGI:3036250,MGI:3040706,MGI:2145180	ENSMUSG00000021510,ENSMUSG00000048280,ENSMUSG00000058093
HGNC:19136,HGNC:33518	ENSG00000205097,ENSG00000225899	MGI:3643940,MGI:3644083,MGI:3648177,MGI:3035485,MGI:3779576,MGI:3782846,MGI:3782845,MGI:3647970,MGI:3648470,MGI:3779574,MGI:3647962,MGI:3643939,MGI:3805017	null,ENSMUSG00000115800,null,ENSMUSG00000087385,null,null,null,null,null,null,null,null,null
HGNC:991	ENSG00000140379	MGI:102687,MGI:1278325,MGI:1278326	ENSMUSG00000102037,ENSMUSG00000099974,ENSMUSG00000089929
HGNC:24665	ENSG00000206531	MGI:3036289,MGI:3042847	ENSMUSG00000062082,ENSMUSG00000090176
HGNC:1865	ENSG00000172828	MGI:102773,MGI:3644960	ENSMUSG00000069922,ENSMUSG00000062181
HGNC:2642	ENSG00000187048	MGI:3028580,MGI:3717148,MGI:88611	ENSMUSG00000028712,ENSMUSG00000063929,ENSMUSG00000066072
HGNC:4141	ENSG00000111640	MGI:95640,MGI:5434255	ENSMUSG00000057666,ENSMUSG00000096438
HGNC:15347	ENSG00000176198	MGI:3030581,MGI:3030583	ENSMUSG00000057179,ENSMUSG00000059069
HGNC:8764	ENSG00000105185	MGI:3782009,MGI:1913538	ENSMUSG00000102824,ENSMUSG00000030417
HGNC:21463	ENSG00000127989	MGI:1918240,MGI:3704243	ENSMUSG00000040429,ENSMUSG00000053178
HGNC:26481	ENSG00000154760	MGI:2672859,MGI:2445121	ENSMUSG00000035208,ENSMUSG00000069793
HGNC:7437	ENSG00000136371	MGI:3780550,MGI:1340032	ENSMUSG00000079427,ENSMUSG00000066442
HGNC:14455,HGNC:18298,HGNC:22516	ENSG00000277745,ENSG00000277858,ENSG00000274183	MGI:3644875,MGI:3642445,MGI:3644980	ENSMUSG00000083616,ENSMUSG00000067441,ENSMUSG00000082482
HGNC:15291	ENSG00000255223	MGI:3030863,MGI:3031368	ENSMUSG00000059873,ENSMUSG00000057207
HGNC:457	ENSG00000123505	MGI:1333111,MGI:88004	ENSMUSG00000063953,ENSMUSG00000075232
HGNC:17980	ENSG00000179826	MGI:3033148,MGI:3821888,MGI:3033098,MGI:3033095	ENSMUSG00000074111,ENSMUSG00000093973,ENSMUSG00000096719,ENSMUSG00000050650
