HGNC:462	ENSG00000099721	MGI:88005	ENSMUSG00000031354
HGNC:5046	ENSG00000099783	MGI:1926465	ENSMUSG00000059208
HGNC:26167	ENSG00000166575	MGI:1920009	ENSMUSG00000039428
HGNC:11005	ENSG00000117394	MGI:95755	ENSMUSG00000028645
HGNC:307	ENSG00000104964	MGI:95806	ENSMUSG00000054452
HGNC:21746	ENSG00000107864	MGI:2443075	ENSMUSG00000039652
HGNC:9137	ENSG00000123737	MGI:1355319	ENSMUSG00000027714
HGNC:10499	ENSG00000163220	MGI:1338947	ENSMUSG00000056071
HGNC:29268	ENSG00000172508	MGI:2147595	ENSMUSG00000075289
HGNC:17989	ENSG00000197891	MGI:1195269	ENSMUSG00000061742
HGNC:23319	ENSG00000162631	MGI:1934028	ENSMUSG00000059857
HGNC:25722	ENSG00000181026	MGI:1915298	ENSMUSG00000030609
HGNC:24577	ENSG00000100418	MGI:106313	ENSMUSG00000022472
HGNC:18156	ENSG00000162390	MGI:1913736	ENSMUSG00000034853
HGNC:3416	ENSG00000187266	MGI:95408	ENSMUSG00000006235
HGNC:26611	ENSG00000173064	MGI:3647820	ENSMUSG00000042744
HGNC:21905	ENSG00000164654	MGI:2182066	ENSMUSG00000042447
HGNC:12840	ENSG00000134684	MGI:2147627	ENSMUSG00000028811
HGNC:6024	ENSG00000168685	MGI:96562	ENSMUSG00000003882
HGNC:1709	ENSG00000010278	MGI:88348	ENSMUSG00000030342
HGNC:25983	ENSG00000119777	MGI:1916046	ENSMUSG00000038828
HGNC:19344	ENSG00000184014	MGI:1201681	ENSMUSG00000035901
HGNC:2210	ENSG00000204262	MGI:88458	ENSMUSG00000026042
HGNC:14171	ENSG00000251692	MGI:1915759	ENSMUSG00000044172
HGNC:15531	ENSG00000117395	MGI:1916322	ENSMUSG00000028729
HGNC:17342	ENSG00000165288	MGI:3029414	ENSMUSG00000063663
HGNC:1949	ENSG00000090539	MGI:1313268	ENSMUSG00000006958
HGNC:16878	ENSG00000198265	MGI:1925705	ENSMUSG00000020721
HGNC:24261	ENSG00000166595	MGI:1915773	ENSMUSG00000031879
HGNC:13613	ENSG00000159069	MGI:1354731	ENSMUSG00000015095
HGNC:23237	ENSG00000213203	MGI:109368	ENSMUSG00000090019
HGNC:25695	ENSG00000134905	MGI:1919191	ENSMUSG00000056228
HGNC:30950	ENSG00000121864	MGI:1915028	ENSMUSG00000027667
HGNC:18874	ENSG00000213658	MGI:1342293	ENSMUSG00000030742
HGNC:1249	ENSG00000088325	MGI:1919369	ENSMUSG00000027469
HGNC:20628	ENSG00000086200	MGI:2442377	ENSMUSG00000042590
HGNC:736	ENSG00000138744	MGI:1914361	ENSMUSG00000029413
HGNC:6412	ENSG00000167768	MGI:96698	ENSMUSG00000046834
HGNC:7562	ENSG00000172936	MGI:108005	ENSMUSG00000032508
HGNC:1405	ENSG00000108878	MGI:1206582	ENSMUSG00000020722
HGNC:1937	ENSG00000110721	MGI:107760	ENSMUSG00000024843
HGNC:8805	ENSG00000104213	MGI:1916047	ENSMUSG00000031595
HGNC:55	ENSG00000125257	MGI:2443111	ENSMUSG00000032849
HGNC:10989	ENSG00000075415	MGI:1353498	ENSMUSG00000061904
HGNC:7622	ENSG00000196132	MGI:1100535	ENSMUSG00000010505
HGNC:1699	ENSG00000007312	MGI:96431	ENSMUSG00000040592
HGNC:30953	ENSG00000205189	MGI:2139883	ENSMUSG00000069114
HGNC:7139	ENSG00000184481	MGI:1891915	ENSMUSG00000042903
HGNC:11824	ENSG00000092330	MGI:107246	ENSMUSG00000007589
HGNC:37245	ENSG00000220201	MGI:3696042	ENSMUSG00000079681
HGNC:2615	ENSG00000197408	MGI:88598	ENSMUSG00000030483
HGNC:11539	ENSG00000148835	MGI:2442144	ENSMUSG00000025049
HGNC:4741	ENSG00000164032	MGI:1888388	ENSMUSG00000037894
HGNC:469	ENSG00000116337	MGI:88016	ENSMUSG00000027889
HGNC:8557	ENSG00000090621	MGI:2385206	ENSMUSG00000011257
HGNC:9087	ENSG00000102007	MGI:1298382	ENSMUSG00000031146
HGNC:7748	ENSG00000197168	MGI:2142824	ENSMUSG00000037738
HGNC:23133	ENSG00000109065	MGI:1913426	ENSMUSG00000015542
HGNC:336	ENSG00000144891	MGI:87964	ENSMUSG00000049115
HGNC:14222	ENSG00000143355	MGI:1316721	ENSMUSG00000019230
HGNC:14530	ENSG00000189120	MGI:1932575	ENSMUSG00000038560
HGNC:6355	ENSG00000102271	MGI:2442829	ENSMUSG00000025597
HGNC:25115	ENSG00000168005	MGI:2147611	ENSMUSG00000024970
HGNC:652	ENSG00000143761	MGI:99431	ENSMUSG00000048076
HGNC:11110	ENSG00000117713	MGI:1935147	ENSMUSG00000007880
HGNC:37269	ENSG00000215218	MGI:1924230	ENSMUSG00000052981
HGNC:3816	ENSG00000129654	MGI:1347474	ENSMUSG00000034227
HGNC:12997	ENSG00000130182	MGI:3040700	ENSMUSG00000023902
HGNC:11862	ENSG00000077585	MGI:1891463	ENSMUSG00000021306
HGNC:14682	ENSG00000122432	MGI:1918201	ENSMUSG00000028188
HGNC:17880	ENSG00000164715	MGI:3036247	ENSMUSG00000038970
HGNC:30657	ENSG00000169241	MGI:107417	ENSMUSG00000027953
HGNC:2389	ENSG00000109846	MGI:88516	ENSMUSG00000032060
HGNC:1742	ENSG00000198589	MGI:1933162	ENSMUSG00000028080
HGNC:14312	ENSG00000119878	MGI:1929655	ENSMUSG00000024146
HGNC:14462	ENSG00000101079	MGI:1352499	ENSMUSG00000027634
HGNC:6776	ENSG00000178573	MGI:96909	ENSMUSG00000055435
HGNC:19910	ENSG00000165271	MGI:2140151	ENSMUSG00000028430
HGNC:10906	ENSG00000125255	MGI:1201406	ENSMUSG00000023073
HGNC:26776	ENSG00000164329	MGI:2140950	ENSMUSG00000042167
HGNC:24739	ENSG00000179846	MGI:1916797	ENSMUSG00000060621
HGNC:429	ENSG00000108839	MGI:87998	ENSMUSG00000000320
HGNC:21715	ENSG00000166473	MGI:2664668	ENSMUSG00000034416
HGNC:6743	ENSG00000135387	MGI:1858234	ENSMUSG00000027184
HGNC:12392	ENSG00000168259	MGI:1928373	ENSMUSG00000014195
HGNC:14511	ENSG00000131368	MGI:1928140	ENSMUSG00000014551
HGNC:5249	ENSG00000173641	MGI:1352494	ENSMUSG00000006221
HGNC:15448	ENSG00000173905	MGI:1920374	ENSMUSG00000034109
HGNC:21528	ENSG00000184047	MGI:1913843	ENSMUSG00000029433
HGNC:30287	ENSG00000141564	MGI:1921620	ENSMUSG00000025583
HGNC:640	ENSG00000165269	MGI:1314647	ENSMUSG00000028427
HGNC:35454	ENSG00000249751	MGI:1915795	ENSMUSG00000073599
HGNC:13714	ENSG00000105507	MGI:1352746	ENSMUSG00000005649
HGNC:28492	ENSG00000077458	MGI:1920076	ENSMUSG00000037808
HGNC:12337	ENSG00000072315	MGI:109524	ENSMUSG00000041710
HGNC:3148	ENSG00000025708	MGI:1920212	ENSMUSG00000022615
HGNC:16783	ENSG00000134371	MGI:2384876	ENSMUSG00000026361
HGNC:6134	ENSG00000213949	MGI:96599	ENSMUSG00000042284
HGNC:6997	ENSG00000116604	MGI:99533	ENSMUSG00000001419
HGNC:24131	ENSG00000075790	MGI:101917	ENSMUSG00000020650
HGNC:24086	ENSG00000148584	MGI:1917115	ENSMUSG00000052595
HGNC:19907	ENSG00000107341	MGI:1914865	ENSMUSG00000036241
HGNC:20492	ENSG00000256053	MGI:1915270	ENSMUSG00000037787
HGNC:11653	ENSG00000185339	MGI:98534	ENSMUSG00000020432
HGNC:25982	ENSG00000160818	MGI:1913864	ENSMUSG00000028069
HGNC:9083	ENSG00000106397	MGI:1347008	ENSMUSG00000004846
HGNC:7198	ENSG00000114487	MGI:1316740	ENSMUSG00000022652
HGNC:29500	ENSG00000157353	MGI:1916071	ENSMUSG00000033703
HGNC:3314	ENSG00000196361	MGI:109157	ENSMUSG00000003410
HGNC:4603	ENSG00000081041	MGI:108068	ENSMUSG00000029380
HGNC:19349	ENSG00000139116	MGI:109188	ENSMUSG00000022629
HGNC:9964	ENSG00000133884	MGI:109529	ENSMUSG00000024826
HGNC:24035	ENSG00000157500	MGI:1920243	ENSMUSG00000040760
HGNC:26839	ENSG00000253148	MGI:3645243	ENSMUSG00000098509
HGNC:20508	ENSG00000184270	MGI:2448314	ENSMUSG00000063689
HGNC:14957	ENSG00000134644	MGI:1931749	ENSMUSG00000028580
HGNC:1356	ENSG00000147475	MGI:2387215	ENSMUSG00000031483
HGNC:18329	ENSG00000119801	MGI:1916937	ENSMUSG00000039770
HGNC:12577	ENSG00000105668	MGI:98911	ENSMUSG00000006313
HGNC:18318	ENSG00000171456	MGI:2684063	ENSMUSG00000042548
HGNC:4323	ENSG00000124767	MGI:95742	ENSMUSG00000024026
HGNC:33274	ENSG00000187867	MGI:1921587	ENSMUSG00000047986
HGNC:18184	ENSG00000043093	MGI:2150386	ENSMUSG00000027708
HGNC:26725	ENSG00000250305	MGI:2442328	ENSMUSG00000039620
HGNC:28908	ENSG00000108176	MGI:1353428	ENSMUSG00000036764
HGNC:13666	ENSG00000094914	MGI:2443767	ENSMUSG00000036678
HGNC:20649	ENSG00000197050	MGI:2444666	ENSMUSG00000058402
HGNC:28641	ENSG00000129197	MGI:1916973	ENSMUSG00000018449
HGNC:4042	ENSG00000174804	MGI:108520	ENSMUSG00000049791
HGNC:25382	ENSG00000171202	MGI:1913521	ENSMUSG00000030615
HGNC:25999	ENSG00000166912	MGI:2142292	ENSMUSG00000030522
HGNC:30009	ENSG00000162517	MGI:1915148	ENSMUSG00000028779
HGNC:24713	ENSG00000198218	MGI:1916482	ENSMUSG00000006673
HGNC:23241	ENSG00000196670	MGI:99662	ENSMUSG00000046311
HGNC:17423	ENSG00000136213	MGI:1929064	ENSMUSG00000036599
HGNC:24060	ENSG00000145491	MGI:2182357	ENSMUSG00000022236
HGNC:4078	ENSG00000109158	MGI:95616	ENSMUSG00000029211
HGNC:12868	ENSG00000162300	MGI:1891017	ENSMUSG00000024792
HGNC:6752	ENSG00000003056	MGI:96904	ENSMUSG00000007458
HGNC:9723	ENSG00000100994	MGI:97828	ENSMUSG00000033059
HGNC:1172	ENSG00000149823	MGI:1915755	ENSMUSG00000024797
HGNC:8293	ENSG00000141194	MGI:3030298	ENSMUSG00000060787
HGNC:2074	ENSG00000188603	MGI:107537	ENSMUSG00000030720
HGNC:17438	ENSG00000109684	MGI:1351468	ENSMUSG00000039315
HGNC:20277	ENSG00000129480	MGI:1923485	ENSMUSG00000020956
HGNC:11476	ENSG00000148248	MGI:98445	ENSMUSG00000014867
HGNC:7907	ENSG00000113971	MGI:1921275	ENSMUSG00000032558
HGNC:1514	ENSG00000036828	MGI:1351351	ENSMUSG00000051980
HGNC:9835	ENSG00000131831	MGI:1344378	ENSMUSG00000043518
HGNC:20657	ENSG00000117472	MGI:1914055	ENSMUSG00000028699
HGNC:20040	ENSG00000131236	MGI:88262	ENSMUSG00000028656
HGNC:30395	ENSG00000073169	MGI:1919007	ENSMUSG00000035757
HGNC:24290	ENSG00000147408	MGI:2442354	ENSMUSG00000036356
HGNC:23387	ENSG00000198000	MGI:1918180	ENSMUSG00000021392
HGNC:4395	ENSG00000128266	MGI:95780	ENSMUSG00000040009
HGNC:26177	ENSG00000169026	MGI:2442629	ENSMUSG00000029490
HGNC:15877	ENSG00000088298	MGI:1915540	ENSMUSG00000038312
HGNC:26967	ENSG00000185306	MGI:2442001	ENSMUSG00000047642
HGNC:28967	ENSG00000135763	MGI:2681124	ENSMUSG00000031976
HGNC:15625	ENSG00000151779	MGI:1918419	ENSMUSG00000020576
HGNC:23212	ENSG00000105357	MGI:1919210	ENSMUSG00000030739
HGNC:160	ENSG00000077080	MGI:1933548	ENSMUSG00000029712
HGNC:16470	ENSG00000168454	MGI:2389312	ENSMUSG00000050612
HGNC:31422	ENSG00000204711	MGI:1914733	ENSMUSG00000033053
HGNC:32393	ENSG00000142046	MGI:2443589	ENSMUSG00000061702
HGNC:28487	ENSG00000169154	MGI:1923865	ENSMUSG00000039720
HGNC:5474	ENSG00000115461	MGI:96440	ENSMUSG00000026185
HGNC:26707	ENSG00000204889	MGI:3629968	ENSMUSG00000059169
HGNC:26861	ENSG00000177994	MGI:1922337	ENSMUSG00000040919
HGNC:19979	ENSG00000240857	MGI:1920402	ENSMUSG00000020621
HGNC:12484	ENSG00000186591	MGI:104632	ENSMUSG00000039159
HGNC:11231	ENSG00000198513	MGI:1921241	ENSMUSG00000021066
HGNC:17663	ENSG00000107959	MGI:1916867	ENSMUSG00000021193
HGNC:19019	ENSG00000163462	MGI:2673000	ENSMUSG00000042766
HGNC:9942	ENSG00000112619	MGI:102791	ENSMUSG00000023978
HGNC:29020	ENSG00000136813	MGI:2140220	ENSMUSG00000050812
HGNC:21098	ENSG00000024862	MGI:2443508	ENSMUSG00000059554
HGNC:18757	ENSG00000164292	MGI:1920546	ENSMUSG00000021589
HGNC:30698	ENSG00000163519	MGI:1924897	ENSMUSG00000030775
HGNC:13610	ENSG00000089094	MGI:1354737	ENSMUSG00000029475
HGNC:14217	ENSG00000152953	MGI:1927552	ENSMUSG00000029123
HGNC:18555	ENSG00000138308	MGI:1917086	ENSMUSG00000009646
HGNC:51826	ENSG00000214978	MGI:3650209	ENSMUSG00000097886
HGNC:21039	ENSG00000173275	MGI:1925869	ENSMUSG00000073176
HGNC:28235	ENSG00000114779	MGI:1923741	ENSMUSG00000042073
HGNC:5005	ENSG00000117305	MGI:96158	ENSMUSG00000028672
HGNC:23235	ENSG00000179580	MGI:1914754	ENSMUSG00000008482
HGNC:6998	ENSG00000103313	MGI:1859396	ENSMUSG00000022534
HGNC:13586	ENSG00000100225	MGI:1917004	ENSMUSG00000001786
HGNC:28330	ENSG00000174695	MGI:1913324	ENSMUSG00000012422
HGNC:16187	ENSG00000101276	MGI:1916948	ENSMUSG00000027463
HGNC:30521	ENSG00000076351	MGI:1098733	ENSMUSG00000020829
HGNC:28520	ENSG00000167014	MGI:1921651	ENSMUSG00000027229
HGNC:19312	ENSG00000129518	MGI:1913516	ENSMUSG00000054302
HGNC:23166	ENSG00000138035	MGI:1918951	ENSMUSG00000020464
HGNC:15174	ENSG00000176200	MGI:3031257	ENSMUSG00000067529
HGNC:2857	ENSG00000149091	MGI:1278339	ENSMUSG00000040479
HGNC:4080	ENSG00000145863	MGI:95618	ENSMUSG00000020428
HGNC:24119	ENSG00000103528	MGI:104966	ENSMUSG00000058420
HGNC:1078	ENSG00000204217	MGI:1095407	ENSMUSG00000067336
HGNC:25616	ENSG00000104343	MGI:1914049	ENSMUSG00000025939
HGNC:20713	ENSG00000163958	MGI:2682948	ENSMUSG00000052363
HGNC:20803	ENSG00000127526	MGI:2142403	ENSMUSG00000019731
HGNC:33767	ENSG00000196900	MGI:1914593	ENSMUSG00000032900
HGNC:16918	ENSG00000135316	MGI:1891690	ENSMUSG00000032423
HGNC:3325	ENSG00000111145	MGI:101762	ENSMUSG00000008398
HGNC:26735	ENSG00000196169	MGI:2447024	ENSMUSG00000010021
HGNC:15251	ENSG00000181273	MGI:3030827	ENSMUSG00000075220
HGNC:4749	ENSG00000233822	MGI:2448404	ENSMUSG00000114279
HGNC:29088	ENSG00000121892	MGI:1918771	ENSMUSG00000029202
HGNC:71		MGI:1351657	ENSMUSG00000028953
HGNC:20768	ENSG00000167553	MGI:1095409	ENSMUSG00000043091
HGNC:19847	ENSG00000151838	MGI:1921186	ENSMUSG00000021086
HGNC:30136	ENSG00000011638	MGI:1925752	ENSMUSG00000030917
HGNC:6206	ENSG00000130522	MGI:96648	ENSMUSG00000071076
HGNC:9184	ENSG00000166169	MGI:1889000	ENSMUSG00000025218
HGNC:9882	ENSG00000068028	MGI:1928386	ENSMUSG00000010067
HGNC:16274	ENSG00000166265	MGI:2152187	ENSMUSG00000041134
HGNC:37253	ENSG00000196460	MGI:3588206	ENSMUSG00000057173
HGNC:14002	ENSG00000111328	MGI:1202069	ENSMUSG00000029394
HGNC:1622	ENSG00000135624	MGI:107184	ENSMUSG00000030007
HGNC:26795	ENSG00000175311	MGI:1919324	ENSMUSG00000030909
HGNC:6565	ENSG00000171747	MGI:107536	ENSMUSG00000053964
HGNC:13420	ENSG00000143363	MGI:1925152	ENSMUSG00000015711
HGNC:609	ENSG00000234906	MGI:88054	ENSMUSG00000002992
HGNC:6718	ENSG00000111321	MGI:104875	ENSMUSG00000030339
HGNC:15899	ENSG00000101247	MGI:1916737	ENSMUSG00000027384
HGNC:14980	ENSG00000104497	MGI:1921968	ENSMUSG00000027534
HGNC:17613	ENSG00000103429	MGI:1914368	ENSMUSG00000022684
HGNC:753	ENSG00000070669	MGI:1350929	ENSMUSG00000029752
HGNC:9531	ENSG00000106588	MGI:104885	ENSMUSG00000015671
HGNC:33854	ENSG00000187860	MGI:3041210	ENSMUSG00000051427
HGNC:594	ENSG00000166181	MGI:1888993	ENSMUSG00000027193
HGNC:20429	ENSG00000196109	MGI:3036278	ENSMUSG00000030446
HGNC:8642	ENSG00000158715	MGI:1922082	ENSMUSG00000026435
HGNC:2254	ENSG00000110880	MGI:1345964	ENSMUSG00000004530
HGNC:12826	ENSG00000184575	MGI:1920442	ENSMUSG00000034667
HGNC:919	ENSG00000235863	MGI:1859517	ENSMUSG00000067370
HGNC:3701	ENSG00000189283	MGI:1277947	ENSMUSG00000060579
HGNC:30722	ENSG00000131126	MGI:1930791	ENSMUSG00000062773
HGNC:11160	ENSG00000100028	MGI:1914582	ENSMUSG00000020180
HGNC:17677	ENSG00000029725	MGI:1860236	ENSMUSG00000020817
HGNC:5993	ENSG00000115594	MGI:96545	ENSMUSG00000026072
HGNC:40030	ENSG00000204323	MGI:1913778	ENSMUSG00000048442
HGNC:1331	ENSG00000106804	MGI:96031	ENSMUSG00000026874
HGNC:6004	ENSG00000174564	MGI:2143266	ENSMUSG00000044244
HGNC:21158	ENSG00000181481	MGI:1919206	ENSMUSG00000020707
HGNC:20161	ENSG00000092203	MGI:1915389	ENSMUSG00000016831
HGNC:20188	ENSG00000165506	MGI:1923566	ENSMUSG00000020973
HGNC:33984	ENSG00000189431	MGI:1925998	ENSMUSG00000098132
HGNC:23295	ENSG00000151364	MGI:1289222	ENSMUSG00000051727
HGNC:3423	ENSG00000121053	MGI:107569	ENSMUSG00000052234
HGNC:1436	ENSG00000169906	MGI:104528	ENSMUSG00000040808
HGNC:28097	ENSG00000135736	MGI:2686927	ENSMUSG00000063605
HGNC:25006	ENSG00000138382	MGI:1922672	ENSMUSG00000051730
HGNC:13267	ENSG00000182108	MGI:1926236	ENSMUSG00000038055
HGNC:18999	ENSG00000058729	MGI:1914295	ENSMUSG00000116564
HGNC:23730	ENSG00000204175	MGI:2444560	ENSMUSG00000071531
HGNC:18466	ENSG00000171865	MGI:1335073	ENSMUSG00000020630
HGNC:40051	ENSG00000164241	MGI:1924672	ENSMUSG00000024592
HGNC:11912	ENSG00000157873	MGI:2675303	ENSMUSG00000042333
HGNC:27263	ENSG00000132854	MGI:3043381	ENSMUSG00000035407
HGNC:17768	ENSG00000111802	MGI:1860486	ENSMUSG00000035958
HGNC:8746	ENSG00000115257	MGI:97514	ENSMUSG00000020131
HGNC:4620	ENSG00000148180	MGI:95851	ENSMUSG00000026879
HGNC:19263	ENSG00000114988	MGI:2443010	ENSMUSG00000001143
HGNC:6232	ENSG00000182674	MGI:99632	ENSMUSG00000092083
HGNC:2556	ENSG00000166266	MGI:1922967	ENSMUSG00000032030
HGNC:278	ENSG00000170214	MGI:104774	ENSMUSG00000050541
HGNC:3971	ENSG00000134363	MGI:95586	ENSMUSG00000021765
HGNC:23802	ENSG00000122035	MGI:1916145	ENSMUSG00000029641
HGNC:24942	ENSG00000100100	MGI:1917016	ENSMUSG00000034614
HGNC:14219	ENSG00000239306	MGI:1929092	ENSMUSG00000006456
HGNC:13900	ENSG00000101049	MGI:1351318	ENSMUSG00000017868
HGNC:11247	ENSG00000167642	MGI:1338031	ENSMUSG00000074227
HGNC:29787	ENSG00000184428	MGI:1920210	ENSMUSG00000000934
HGNC:8755	ENSG00000102230	MGI:2147987	ENSMUSG00000035246
HGNC:7609	ENSG00000099331	MGI:106624	ENSMUSG00000004677
HGNC:2345	ENSG00000118260	MGI:88494	ENSMUSG00000025958
HGNC:27277	ENSG00000274209	MGI:1925726	ENSMUSG00000047441
HGNC:3761	ENSG00000185070	MGI:3603594	ENSMUSG00000047414
HGNC:8066	ENSG00000213024	MGI:1351500	ENSMUSG00000109511
HGNC:8477	ENSG00000197125	MGI:2177528	ENSMUSG00000066748
HGNC:2482	ENSG00000160213	MGI:109514	ENSMUSG00000005054
HGNC:11808	ENSG00000103423	MGI:1933786	ENSMUSG00000004069
HGNC:377	ENSG00000118507	MGI:1859150	ENSMUSG00000039166
HGNC:8022	ENSG00000076685	MGI:2178563	ENSMUSG00000025041
HGNC:24076	ENSG00000068097	MGI:1919790	ENSMUSG00000000976
HGNC:8819	ENSG00000160209	MGI:1351869	ENSMUSG00000032788
HGNC:15703	ENSG00000139725	MGI:1345629	ENSMUSG00000029449
HGNC:16867	ENSG00000103549	MGI:2142048	ENSMUSG00000030816
HGNC:12756	ENSG00000160193	MGI:1889002	ENSMUSG00000024037
HGNC:21024	ENSG00000044090	MGI:1913765	ENSMUSG00000038545
HGNC:20239	ENSG00000115226	MGI:1917195	ENSMUSG00000038552
HGNC:14090	ENSG00000123570	MGI:2442454	ENSMUSG00000043463
HGNC:7161	ENSG00000102996	MGI:109320	ENSMUSG00000031790
HGNC:11112	ENSG00000077935	MGI:2154049	ENSMUSG00000022432
HGNC:20996	ENSG00000105011	MGI:1914179	ENSMUSG00000005470
HGNC:6728	ENSG00000176956	MGI:1346030	ENSMUSG00000022577
HGNC:12472	ENSG00000077721	MGI:102959	ENSMUSG00000016308
HGNC:29077	ENSG00000187535	MGI:2146906	ENSMUSG00000024169
HGNC:28563	ENSG00000177673	MGI:1919113	ENSMUSG00000036574
