chr10_1004;chr19_957
chr10_2867;chr19_1888
chr10_2867;chr19_1889
chr10_287;chr19_1043
chr10_2886;chr7_1481
chr10_2887;chr7_1480
chr10_2888;chr7_5497
chr10_288;chr19_1060
chr10_2890;chr7_3107
chr10_2897;chr13_1657
chr10_2898;chr2_2849
chr10_2899;chr2_86
chr10_2900;chr2_7732
chr10_2909;chr8_3695
chr10_2916;chr14_322
chr10_2917;chr19_2395
chr10_2920;chr10_648
chr10_2922;chr10_3489
chr10_2923;chr10_3073
chr10_2924;chr10_565
chr10_2930;chr19_805
chr10_2931;chr19_851
chr10_2932;chr19_2791
chr10_2933;chr19_859
chr10_2939;chr19_2796
chr10_293;chr19_1112
chr10_293;chr19_1113
chr10_2942;chr7_1443
chr10_2945;chr7_2499
chr10_2945;chr7_3579
chr10_2947;chr13_66
chr10_2950;chr2_120
chr10_2950;chr2_121
chr10_2951;chr2_123
chr10_2953;chr2_6119
chr10_2957;chr2_5531
chr10_2960;chr2_6853
chr10_2962;chr2_2843
chr10_2963;chr2_4194
chr10_2964;chr2_7727
chr10_2966;chr2_26
chr10_2968;chr2_2842
chr10_2969;chr2_28
chr10_2970;chr2_28
chr10_2972;chr2_2843
chr10_2974;chr2_7172
chr10_2978;chr2_212
chr10_2979;chr2_3465
chr10_2981;chr18_37
chr10_298;chr19_1156
chr10_2990;chr18_61
chr10_2992;chr8_1737
chr10_2996;chr6_4165
chr10_2998;chr14_309
chr10_299;chr19_2140
chr10_29;chr19_912
chr10_3000;chr10_667
chr10_3001;chr10_667
chr10_3002;chr10_659
chr10_3003;chr10_659
chr10_3005;chr10_3079
chr10_3005;chr10_4430
chr10_3006;chr10_658
chr10_3011;chr10_4627
chr10_3013;chr10_588
chr10_3013;chr10_591
chr10_3014;chr10_2638
chr10_3020;chr14_1105
chr10_3024;chr14_219
chr10_3025;chr14_1375
chr10_3028;chr14_2424
chr10_3032;chr19_2288
chr10_3036;chr19_1278
chr10_3039;chr19_1838
chr10_303;chr19_1158
chr10_3046;chr19_1022
chr10_3047;chr19_2418
chr10_3049;chr19_2418
chr10_3059;chr19_2113
chr10_3061;chr19_1083
chr10_3065;chr19_1128
chr10_3066;chr19_2361
chr10_3069;chr7_1424
chr10_3070;chr7_1428
chr10_3073;chr7_1888
chr10_3077;chr7_1449
chr10_307;chr19_1162
chr10_3083;chr6_4167
chr10_3090;chr10_550
chr10_3095;chr14_3282
chr10_3098;chr14_165
chr10_309;chr19_1429
chr10_3100;chr14_214
chr10_3108;chr19_1714
chr10_3108;chr19_973
chr10_3109;chr19_996
chr10_3110;chr19_970
chr10_3112;chr19_1509
chr10_3125;chr7_3109
chr10_3126;chr7_3116
chr10_3127;chr7_3956
chr10_3128;chr7_1494
chr10_3133;chr7_3583
chr10_313;chr19_2521
chr10_3141;chr13_27
chr10_315;chr19_1189
chr10_3161;chr2_32
chr10_3163;chr2_23
chr10_3165;chr2_6594
chr10_3166;chr2_6107
chr10_3170;chr2_5506
chr10_3170;chr2_6106
chr10_3171;chr2_5506
chr10_3175;chr2_143
chr10_3184;chr2_191
chr10_3186;chr2_3445
chr10_3204;chr18_28
chr10_3204;chr18_34
chr10_3209;chr18_29
chr10_320;chr7_3082
chr10_3210;chr18_1116
chr10_3211;chr18_40
chr10_3215;chr18_2408
chr10_3216;chr18_2408
chr10_3228;chr8_1730
chr10_323;chr7_3935
chr10_3242;chr6_4818
chr10_3247;chr10_644
chr10_3248;chr10_3078
chr10_3249;chr10_3245
chr10_3249;chr10_616
chr10_3256;chr10_2646
chr10_3258;chr10_553
chr10_3260;chr14_111
chr10_3261;chr14_114
chr10_3262;chr14_129
chr10_3264;chr14_2705
chr10_3277;chr14_1743
chr10_3282;chr14_194
chr10_3282;chr14_206
chr10_3283;chr14_195
chr10_3288;chr14_209
chr10_3293;chr14_2095
chr10_3296;chr14_2115
chr10_32;chr19_1069
chr10_3303;chr19_2286
chr10_3304;chr19_2398
chr10_3313;chr19_1408
chr10_3314;chr19_1408
chr10_3314;chr19_1460
chr10_3315;chr19_775
chr10_3318;chr19_1459
chr10_3331;chr19_850
chr10_3332;chr19_2400
chr10_3333;chr15_2101
chr10_3333;chr15_3923
chr10_3334;chr19_2401
chr10_3337;chr19_855
chr10_3342;chr19_1843
chr10_3362;chr19_1693
chr10_3364;chr19_2409
chr10_3370;chr19_1855
chr10_3370;chr19_1856
chr10_3371;chr19_1856
chr10_3372;chr19_1870
chr10_3374;chr19_975
chr10_3375;chr19_975
chr10_3376;chr19_993
chr10_337;chr7_3100
chr10_3380;chr19_1029
chr10_3381;chr19_1029
chr10_3391;chr19_2420
chr10_3393;chr19_1038
chr10_339;chr7_4287
chr10_3421;chr19_1109
chr10_3428;chr19_1327
chr10_342;chr7_2427
chr10_343;chr7_3125
chr10_3440;chr19_1138
chr10_3441;chr19_1138
chr10_3444;chr19_1179
chr10_3456;chr7_3922
chr10_3457;chr7_3922
chr10_3459;chr7_1397
chr10_345;chr13_3774
chr10_3466;chr7_4475
chr10_3475;chr7_1485
chr10_3477;chr7_1503
chr10_3478;chr7_1496
chr10_349;chr13_56
chr10_34;chr7_1406
chr10_353;chr2_7184
chr10_365;chr2_4188
chr10_368;chr2_174
chr10_372;chr18_12
chr10_379;chr6_1809
chr10_382;chr6_5293
chr10_383;chr6_3437
chr10_384;chr6_5532
chr10_387;chr14_312
chr10_392;chr10_668
chr10_394;chr10_1956
chr10_395;chr10_607
chr10_398;chr10_606
chr10_401;chr10_3482
chr10_403;chr10_3868
chr10_406;chr10_5152
chr10_407;chr10_543
chr10_408;chr10_3238
chr10_408;chr10_5151
chr10_410;chr10_2627
chr10_410;chr10_526
chr10_412;chr10_528
chr10_415;chr14_3274
chr10_416;chr14_3277
chr10_417;chr14_94
chr10_418;chr14_96
chr10_419;chr14_102
chr10_420;chr14_98
chr10_422;chr14_137
chr10_424;chr14_214
chr10_426;chr14_2429
chr10_427;chr14_363
chr10_428;chr14_357
chr10_430;chr19_2683
chr10_431;chr19_2492
chr10_437;chr19_1833
chr10_438;chr19_1833
chr10_439;chr19_858
chr10_44;chr13_4348
chr10_454;chr19_2503
chr10_459;chr19_920
chr10_45;chr13_4348
chr10_461;chr19_934
chr10_463;chr19_952
chr10_464;chr19_949
chr10_465;chr19_1418
chr10_466;chr19_1420
chr10_467;chr19_1420
chr10_471;chr19_1714
chr10_472;chr19_973
chr10_478;chr19_1715
chr10_480;chr19_990
chr10_481;chr19_984
chr10_482;chr19_992
chr10_483;chr19_1035
chr10_486;chr19_1733
chr10_487;chr19_1075
chr10_489;chr19_2745
chr10_490;chr19_1194
chr10_493;chr7_1380
chr10_495;chr7_1400
chr10_497;chr7_1401
chr10_501;chr7_3088
chr10_503;chr7_1429
chr10_505;chr7_1469
chr10_507;chr7_2250
chr10_508;chr7_1507
chr10_510;chr7_1506
chr10_516;chr2_4202
chr10_518;chr2_36
chr10_526;chr6_1793
chr10_528;chr6_1800
chr10_529;chr6_1754
chr10_538;chr10_656
chr10_539;chr10_2132
chr10_546;chr10_2647
chr10_547;chr10_2633
chr10_554;chr16_397
chr10_554;chr16_398
chr10_556;chr14_100
chr10_560;chr14_1738
chr10_563;chr14_136
chr10_565;chr14_1743
chr10_566;chr14_3129
chr10_567;chr14_1770
chr10_567;chr14_2096
chr10_572;chr19_1754
chr10_573;chr19_940
chr10_574;chr19_953
chr10_577;chr19_1044
chr10_584;chr19_1114
chr10_585;chr19_1889
chr10_587;chr7_1381
chr10_595;chr7_3460
chr10_597;chr7_5503
chr10_5;chr2_39
chr10_606;chr13_67
chr10_613;chr13_2364
chr10_614;chr13_59
chr10_616;chr13_57
chr10_623;chr13_54
chr10_626;chr13_53
chr10_630;chr13_2033
chr10_631;chr13_38
chr10_632;chr13_39
chr10_635;chr13_13
chr10_637;chr13_1393
chr10_638;chr13_4
chr10_640;chr2_5534
chr10_642;chr2_117
chr10_643;chr2_125
chr10_644;chr2_8350
chr10_655;chr2_5341
chr10_658;chr2_69
chr10_660;chr2_64
chr10_661;chr2_4201
chr10_662;chr2_35
chr10_663;chr2_7046
chr10_670;chr2_17
chr10_672;chr2_7
chr10_674;chr2_145
chr10_680;chr2_3430
chr10_681;chr2_149
chr10_686;chr2_145
chr10_691;chr2_175
chr10_692;chr2_178
chr10_693;chr2_7212
chr10_695;chr2_188
chr10_696;chr2_3446
chr10_702;chr2_5357
chr10_703;chr2_5358
chr10_704;chr2_7749
chr10_707;chr2_3439
chr10_707;chr2_5550
chr10_708;chr2_3898
chr10_709;chr2_199
chr10_710;chr2_7229
chr10_715;chr2_8037
chr10_717;chr2_224
chr10_718;chr6_5296
chr10_71;chr2_3393
chr10_72;chr2_13
chr10_734;chr18_2402
chr10_754;chr8_1718
chr10_759;chr18_3
chr10_799;chr6_2837
chr10_79;chr2_2856
chr10_801;chr6_1748
chr10_804;chr14_323
chr10_806;chr14_1812
chr10_809;chr10_1845
chr10_811;chr10_3892
chr10_812;chr10_664
chr10_817;chr10_5195
chr10_818;chr10_3080
chr10_821;chr10_666
chr10_822;chr10_5052
chr10_824;chr10_2126
chr10_825;chr10_640
chr10_828;chr10_604
chr10_829;chr10_598
chr10_831;chr10_608
chr10_837;chr10_4630
chr10_839;chr10_2641
chr10_83;chr2_2858
chr10_840;chr10_577
chr10_841;chr10_594
chr10_842;chr10_580
chr10_846;chr10_3866
chr10_846;chr10_541
chr10_849;chr10_3464
chr10_84;chr2_2858
chr10_84;chr2_3434
chr10_850;chr10_2475
chr10_854;chr10_545
chr10_856;chr10_517
chr10_857;chr10_517
chr10_857;chr10_527
chr10_861;chr10_4869
chr10_862;chr10_4869
chr10_863;chr10_525
chr10_869;chr14_2053
chr10_86;chr2_180
chr10_870;chr14_2355
chr10_878;chr14_3126
chr10_88;chr2_186
chr10_892;chr14_167
chr10_895;chr14_209
chr10_896;chr14_186
chr10_897;chr14_201
chr10_898;chr14_201
chr10_898;chr14_202
chr10_89;chr2_185
chr10_909;chr14_187
chr10_90;chr18_1786
chr10_911;chr14_187
chr10_912;chr14_3961
chr10_913;chr14_3960
chr10_916;chr14_1373
chr10_917;chr14_1370
chr10_918;chr14_2239
chr10_919;chr14_2239
chr10_923;chr14_2761
chr10_926;chr14_3961
chr10_932;chr19_2284
chr10_935;chr19_1342
chr10_940;chr19_827
chr10_940;chr19_828
chr10_941;chr19_823
chr10_943;chr19_824
chr10_944;chr19_1280
chr10_945;chr19_1941
chr10_947;chr19_842
chr10_949;chr19_853
chr10_950;chr19_854
chr10_951;chr19_857
chr10_952;chr19_856
chr10_954;chr19_1943
chr10_955;chr19_868
chr10_955;chr19_869
chr10_961;chr19_878
chr10_961;chr19_889
chr10_967;chr19_901
chr10_968;chr19_2699
chr10_96;chr8_1735
chr10_975;chr19_1753
chr10_978;chr19_1343
chr10_979;chr19_2410
chr10_987;chr19_2704
chr10_992;chr19_923
chr10_993;chr19_2317
chr10_996;chr19_1754
chr10_99;chr8_3694
chr1_1001;chr4_3558
chr1_1002;chr4_4005
chr1_1004;chr4_1724
chr1_1005;chr4_1722
chr1_1008;chr4_1722
chr1_1009;chr4_3523
chr1_100;chr4_4383
chr1_1010;chr4_3524
chr1_1011;chr4_3526
chr1_1012;chr4_2277
chr1_1012;chr4_3510
chr1_1013;chr4_3509
chr1_1013;chr4_3518
chr1_1014;chr4_3508
chr1_1014;chr4_3518
chr1_1017;chr4_1710
chr1_1018;chr4_2775
chr1_1020;chr4_1707
chr1_1024;chr4_3481
chr1_1025;chr4_2258
chr1_1026;chr4_3875
chr1_1027;chr4_1682
chr1_1028;chr4_3484
chr1_1029;chr4_3873
chr1_1033;chr4_4900
chr1_1038;chr4_3442
chr1_1041;chr4_3442
chr1_1045;chr4_4885
chr1_1046;chr4_2226
chr1_1047;chr4_4412
chr1_1048;chr4_1615
chr1_1058;chr4_5320
chr1_1060;chr4_2301
chr1_1061;chr4_3387
chr1_1063;chr4_3353
chr1_1064;chr4_3350
chr1_1065;chr4_3347
chr1_1066;chr4_1494
chr1_1066;chr4_1495
chr1_1067;chr4_2164
chr1_1069;chr4_5812
chr1_1070;chr4_1421
chr1_1071;chr4_1422
chr1_1072;chr4_2560
chr1_1073;chr4_3273
chr1_1074;chr4_1421
chr1_1077;chr4_1381
chr1_1078;chr4_1368
chr1_107;chr4_4367
chr1_1081;chr4_3764
chr1_1082;chr4_3764
chr1_1083;chr4_3231
chr1_1085;chr4_6399
chr1_1092;chr4_3203
chr1_1093;chr4_2089
chr1_1094;chr4_3198
chr1_1096;chr4_4787
chr1_1097;chr4_3184
chr1_1098;chr4_3183
chr1_109;chr4_5835
chr1_10;chr4_3865
chr11_1000;chr2_1303
chr11_1001;chr2_1294
chr11_1002;chr2_1291
chr11_1003;chr2_1288
chr11_1003;chr2_6955
chr11_1004;chr2_1282
chr11_1005;chr2_4530
chr11_1006;chr2_7840
chr11_1008;chr2_4527
chr11_1009;chr2_4526
chr11_100;chr2_1331
chr1_1100;chr4_1254
chr11_1010;chr2_7839
chr11_1011;chr2_7839
chr11_1012;chr2_1293
chr11_1013;chr2_3642
chr11_1014;chr2_4523
chr11_1018;chr2_1235
chr11_101;chr2_1334
chr1_1101;chr4_1241
chr11_1020;chr2_1270
chr11_1022;chr19_437
chr11_1022;chr19_438
chr11_1029;chr19_387
chr1_1102;chr4_1222
chr11_1034;chr19_1338
chr11_1035;chr19_1982
chr11_1046;chr19_332
chr11_1047;chr19_325
chr11_1049;chr19_320
chr11_1050;chr19_1749
chr11_1056;chr19_1219
chr11_1057;chr19_1219
chr11_1059;chr19_296
chr1_1105;chr4_1214
chr11_1061;chr19_1220
chr11_1062;chr19_1220
chr11_1063;chr19_1589
chr11_1064;chr19_249
chr11_1067;chr19_1584
chr11_1067;chr19_284
chr11_1070;chr19_1577
chr11_1071;chr19_1562
chr11_1072;chr19_230
chr11_1074;chr19_222
chr11_1075;chr19_1353
chr11_1076;chr19_190
chr11_1078;chr19_206
chr11_1079;chr19_208
chr1_1107;chr4_5413
chr1_1107;chr4_5414
chr11_1082;chr19_207
chr11_1085;chr19_152
chr11_1085;chr19_163
chr11_1088;chr19_160
chr11_108;chr2_4140
chr11_1090;chr19_156
chr11_1091;chr19_156
chr11_1092;chr19_130
chr11_1094;chr19_121
chr11_1095;chr19_1539
chr11_109;chr2_3995
chr1_1109;chr4_1195
chr11_1100;chr19_103
chr11_1101;chr19_1764
chr11_1102;chr19_1534
chr11_1106;chr19_90
chr11_1108;chr19_1763
chr11_1109;chr19_111
chr1_1110;chr4_1194
chr11_1113;chr19_86
chr11_1114;chr19_85
chr11_1114;chr19_86
chr11_1115;chr19_85
chr11_1116;chr19_1531
chr11_1116;chr19_1532
chr11_1118;chr19_105
chr11_1118;chr19_108
chr1_1111;chr4_1181
chr11_1121;chr19_1525
chr11_1126;chr19_1351
chr11_1128;chr19_83
chr1_1112;chr4_1179
chr11_1130;chr19_64
chr11_1134;chr19_106
chr11_1134;chr19_107
chr11_1135;chr19_106
chr11_1136;chr19_109
chr11_1137;chr19_108
